Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,75431,371675,67237222,35684307,0,17126,2166,0,4784093,84499,25682,12.36,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
300,113075,3304914,133404896,52826289,0,25397,2358,0,6305247,111886,48638,16.35,"Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
400,4273196,9096736,322085789,128659586,0,73226,3834,0,12738069,182870,3861800,33.05,"Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
512,16578172,17612184,653094509,261440895,0,118683,6020,0,24111307,294124,16600951,62.70,"Array same : 1 Loop optimized matrix multiplication took 52 ms to execute  Normalized performance: 0.000000  "
800,65193434,64777403,2407608231,1096994126,0,2099140,84343,0,74347408,706502,63547188,261.18,"Array same : 1 Loop optimized matrix multiplication took 235 ms to execute  Normalized performance: 0.000000  "
1024,145905294,134950902,5010734397,2924565250,0,23332142,1300679,0,148563855,1138091,133572725,674.17,"Array same : 1 Loop optimized matrix multiplication took 639 ms to execute  Normalized performance: 0.000000  "
1200,226889023,218417150,7999572774,4010750923,0,23772889,1321546,0,224686095,1550810,216175159,914.57,"Array same : 1 Loop optimized matrix multiplication took 867 ms to execute  Normalized performance: 0.000000  "
1500,444858708,424451621,15535113194,8562580570,0,194437183,9706033,0,417073471,2417040,421651397,1934.24,"Array same : 1 Loop optimized matrix multiplication took 1864 ms to execute  Normalized performance: 0.000000  "
1800,1207230564,732457268,26729022730,13595241274,0,377054540,12631056,0,697192423,3470898,696315556,3055.28,"Array same : 1 Loop optimized matrix multiplication took 2955 ms to execute  Normalized performance: 0.000000  "
2000,1708514812,1005212908,36596621625,18709444298,0,626398869,18806534,0,939297330,4535083,953375073,4204.31,"Array same : 1 Loop optimized matrix multiplication took 4084 ms to execute  Normalized performance: 0.000000  "
2048,1868131711,1078329443,39381548350,20408355932,0,695182442,18311728,0,1036273794,4735834,1041202860,4584.98,"Array same : 1 Loop optimized matrix multiplication took 4457 ms to execute  Normalized performance: 0.000000  "
2400,3010419524,1742292568,63056054958,32259014072,0,1249451200,33158237,0,1585676892,6157254,1650667199,7245.85,"Array same : 1 Loop optimized matrix multiplication took 7073 ms to execute  Normalized performance: 0.000000  "
2700,4286093141,2490176473,89669274950,46500533522,0,1930900708,52115848,0,2223672936,7788427,2406221970,10427.69,"Array same : 1 Loop optimized matrix multiplication took 10210 ms to execute  Normalized performance: 0.000000  "
3000,5905052080,3460495566,122864118608,63401437219,0,2649385756,71733905,0,3016884935,9610555,3243634441,14208.41,"Array same : 1 Loop optimized matrix multiplication took 13942 ms to execute  Normalized performance: 0.000000  "
257,60016,1419390,88573736,36899260,0,18275,1935,0,4879916,85800,31408,9.47,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
301,103739,2447680,129490469,54891488,0,21425,1891,0,6434925,111706,38734,14.00,"Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,3845364,7999049,310300254,127144603,0,78363,4541,0,12986102,185548,3742249,32.21,"Array same : 1 Loop optimized matrix multiplication took 24 ms to execute  Normalized performance: 0.000000  "
513,17192323,18319427,667498520,253363295,0,116491,5705,0,24483193,293324,16615653,60.65,"Array same : 1 Loop optimized matrix multiplication took 50 ms to execute  Normalized performance: 0.000000  "
801,64807385,65220367,2423299305,932800083,0,425999,18575,0,76995738,696640,64086560,214.93,"Array same : 1 Loop optimized matrix multiplication took 191 ms to execute  Normalized performance: 0.000000  "
1025,136063503,135009691,5018053756,2482037035,0,11744660,811438,0,149493371,1138769,135294984,560.75,"Array same : 1 Loop optimized matrix multiplication took 526 ms to execute  Normalized performance: 0.000000  "
1201,218515327,218435800,8026394610,4271135304,0,40480221,2471055,0,227039448,1555615,217228169,964.05,"Array same : 1 Loop optimized matrix multiplication took 917 ms to execute  Normalized performance: 0.000000  "
1501,446037291,425073734,15578990123,8450909231,0,189637534,9598864,0,420049843,2418563,422984652,1906.28,"Array same : 1 Loop optimized matrix multiplication took 1836 ms to execute  Normalized performance: 0.000000  "
1801,859368474,733534724,26799289250,14572209613,0,419893270,18849162,0,701428317,3472782,723504686,3273.78,"Array same : 1 Loop optimized matrix multiplication took 3176 ms to execute  Normalized performance: 0.000000  "
2001,1706842926,1005138380,36663138814,18738500624,0,603981871,18440827,0,945495442,4291999,954563946,4215.18,"Array same : 1 Loop optimized matrix multiplication took 4094 ms to execute  Normalized performance: 0.000000  "
2049,1861574328,1080006393,39444763821,20239344681,0,705277386,20842749,0,1041444963,4490256,1024312024,4550.67,"Array same : 1 Loop optimized matrix multiplication took 4425 ms to execute  Normalized performance: 0.000000  "
2401,3011674145,1743063762,63192306281,32590752538,0,1275239393,35226793,0,1593157931,6164072,1673842590,7315.27,"Array same : 1 Loop optimized matrix multiplication took 7143 ms to execute  Normalized performance: 0.000000  "
2701,4297405424,2497747029,89827147610,46544352330,0,1925183427,51482324,0,2232006458,7796258,2396602874,10437.66,"Array same : 1 Loop optimized matrix multiplication took 10222 ms to execute  Normalized performance: 0.000000  "
3001,5902227938,3467564596,123026999477,63727524142,0,2693197336,70701194,0,3028275752,9618819,3259613208,14284.33,"Array same : 1 Loop optimized matrix multiplication took 14019 ms to execute  Normalized performance: 0.000000  "
