Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,L1-dcache-store-misses,cache-misses,LLC-load-misses,ExecutableOutput
256,67816,2129342,94485533,35112072,0,<not,20917,2350,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
300,89728,3408652,146486228,52359197,0,<not,28732,2558,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
400,3230109,8040537,338257421,119169245,0,<not,75209,3320,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
512,16731490,16835626,693327154,250957638,0,<not,112223,6607,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 52 ms to execute  Normalized performance: 0.000000  "
800,64406443,64339720,2579849698,963590783,0,<not,1225990,31358,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 211 ms to execute  Normalized performance: 0.000000  "
1024,139726448,134909987,5364973544,2439765983,0,<not,12264559,612483,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 531 ms to execute  Normalized performance: 0.000000  "
1200,223075564,217036800,8569101505,3831366113,0,<not,24937723,828474,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 826 ms to execute  Normalized performance: 0.000000  "
1500,430104602,423636444,16650256773,8368569064,0,<not,199244274,5495592,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1812 ms to execute  Normalized performance: 0.000000  "
1800,1240023719,732374882,28673221036,13898423146,0,<not,508726089,17145019,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3054 ms to execute  Normalized performance: 0.000000  "
2000,1724503742,1005047720,39310421872,19789757884,0,<not,782753437,26286632,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4384 ms to execute  Normalized performance: 0.000000  "
2048,1864584975,1077741170,42192917155,20804252766,0,<not,820986278,33422271,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4590 ms to execute  Normalized performance: 0.000000  "
2400,3007113574,1738682559,67676573416,32805897780,0,<not,1423788181,47692271,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7275 ms to execute  Normalized performance: 0.000000  "
2700,4295183273,2495141667,96222963903,46956324067,0,<not,2087621340,71401444,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10409 ms to execute  Normalized performance: 0.000000  "
3000,5912262554,3486962133,131843160900,65178743540,0,<not,2967411084,98783357,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 14540 ms to execute  Normalized performance: 0.000000  "
