LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,128,1997966,1237524,1588236152,351531651,0,295472,1914,159,0,209260224,80229,1050574,92.27," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 108 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,129,1936105,1205124,1566214184,347821385,0,280894,1908,835,0,215611352,80548,1035302,118.22,"malloc(): corrupted top size "
0,125000,256,3630971,2253160,3209579073,711323339,0,589693,8971,19384,0,404535724,169507,1995317,172.23," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 146 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,257,3538864,2271354,3250247765,717312362,0,572325,2217,4157,0,407151589,238331,1926533,232.56,"malloc(): corrupted top size "
0,125000,512,7001881,4168103,6295131966,1399882294,0,1157576,13435,31824,0,842037366,314356,3995157,341.31," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 207 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,513,7070826,4214333,6329257513,1397949356,0,1122733,2426,18,0,825834025,309519,3940980,457.65,"malloc(): corrupted top size "
0,125000,720,9961615,5911603,8887849948,1982218521,0,1570969,1718,43977,0,1156823194,465993,5572767,483.22," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 269 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,900,12109327,7179769,11039234510,2460447559,0,1963990,3441,5719,0,1456169135,624521,6766938,821.52,"malloc(): corrupted top size "
0,125000,1024,13922611,8244205,12573826958,2769816833,0,2271764,16251,55343,0,1671956515,669493,7770123,663.51," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 296 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,1025,14069191,8256430,12651419940,2785357192,0,2210328,2939,141,0,1659545865,618563,7765914,908.64,"malloc(): corrupted top size "
0,250000,128,3586495,2242719,3211886884,710997473,0,585092,5731,11417,0,401082659,197772,1971868,172.01," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 97 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,129,3665810,2271912,3254495657,722344593,0,562151,2007,914,0,409842935,156096,1985059,235.79,"malloc(): corrupted top size "
0,250000,256,6972617,4200226,6296777353,1389796292,0,1130303,8738,19263,0,837025946,345263,3887381,332.83," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 150 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,257,6995674,4231573,6355210406,1403347866,0,1117846,2225,3095,0,829534813,361721,3851327,456.52,"malloc(): corrupted top size "
0,250000,512,13985815,8222097,12583752985,2770372569,0,2236252,13158,2217,0,1672174189,682078,7739754,660.53," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 212 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,513,14036068,8249203,12650767876,2794419866,0,2213322,2684,527,0,1678668051,633141,7799872,937.44,"malloc(): corrupted top size "
0,250000,720,19641101,11519009,17765721332,3929285265,0,3169248,14978,44383,0,2328662364,899854,10958677,965.46," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 281 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,900,24680776,14316952,22109289590,4849790909,0,3871337,3202,2526,0,2928780988,1122713,13692272,1656.53,"malloc(): corrupted top size "
0,250000,1024,27963161,16302070,25188289402,5538274425,0,4476156,11983,2562,0,3326191245,1301933,15712684,1314.03," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 288 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,1025,27877027,16266391,25226449834,5595880792,0,4439093,2905,6384,0,3322173091,1332660,15645029,1883.02,"malloc(): corrupted top size "
0,500000,128,6996570,4177343,6285636543,1393534772,0,1125672,5885,9589,0,841766917,319532,3960878,335.33," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 98 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,129,7079443,4169809,6286332687,1391799610,0,1121348,2087,2857,0,850597997,343487,3973643,473.00,"malloc(): corrupted top size "
