LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,1030403.0,787947.0,1856255714,838395834,0.0,198312.0,3991.0,3392.0,0.0,215373387.0,3204972.0,671265.0,191.66, Time WITHOUT software prefetching: 416 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,416.0
0.0,50000.0,192.0,1622953.0,1229965.0,2813432563,1249012813,0.0,243170.0,1864.0,3418.0,0.0,318969141.0,4752723.0,962027.0,286.3, Time WITHOUT software prefetching: 620 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,620.0
0.0,50000.0,320.0,2712604.0,2108172.0,4603821816,2089244691,0.0,420466.0,3203.0,4392.0,0.0,549093384.0,8146509.0,1571007.0,475.64000000000004, Time WITHOUT software prefetching: 927 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,927.0
0.0,50000.0,512.0,4351869.0,3284913.0,7383324843,3300801028,0.0,641432.0,1907.0,4120.0,0.0,868030363.0,12861965.0,2533974.0,748.09, Time WITHOUT software prefetching: 1355 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,1355.0
0.0,50000.0,640.0,5226033.0,4033017.0,9203088302,4107854776,0.0,839652.0,3490.0,4745.0,0.0,1093954183.0,16282624.0,3129982.0,933.92, Time WITHOUT software prefetching: 1774 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,1774.0
0.0,50000.0,784.0,6575415.0,4964102.0,11310316978,5054177445,0.0,983470.0,1803.0,3547.0,0.0,1330144637.0,19767353.0,3838917.0,1144.95, Time WITHOUT software prefetching: 2076 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2076.0
0.0,50000.0,896.0,7597198.0,5749702.0,12889187430,5791590753,0.0,1132301.0,1959.0,2201.0,0.0,1530060162.0,22747794.0,4401143.0,1311.57, Time WITHOUT software prefetching: 2401 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2401.0
0.0,50000.0,1024.0,8543752.0,6358738.0,14749877621,6616091268,0.0,1316953.0,3633.0,5917.0,0.0,1743225901.0,25912975.0,5041359.0,1496.29, Time WITHOUT software prefetching: 2724 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2724.0
0.0,150000.0,128.0,3057716.0,2460210.0,5528547510,2475329579,0.0,509157.0,3286.0,531.0,0.0,653446482.0,9701141.0,1800197.0,562.95, Time WITHOUT software prefetching: 430 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,430.0
0.0,150000.0,192.0,4897677.0,3750115.0,8318465306,3705747521,0.0,739537.0,3438.0,4415.0,0.0,980163939.0,14593529.0,2807450.0,839.5, Time WITHOUT software prefetching: 626 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,626.0
0.0,150000.0,320.0,7889814.0,6060068.0,13811074098,6190011928,0.0,1217271.0,3416.0,3212.0,0.0,1633027167.0,24266515.0,4589816.0,1401.5600000000002, Time WITHOUT software prefetching: 902 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,902.0
0.0,150000.0,512.0,12612040.0,9708963.0,22021151903,9903994847,0.0,1913987.0,3342.0,825.0,0.0,2613173775.0,38777804.0,7326806.0,2239.7, Time WITHOUT software prefetching: 1370 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,1370.0
0.0,150000.0,640.0,15890201.0,11968493.0,27619160829,12355652782,0.0,2388934.0,1849.0,4821.0,0.0,3261389708.0,48444261.0,9328479.0,2794.22, Time WITHOUT software prefetching: 1695 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,1695.0
0.0,150000.0,784.0,19593730.0,14824939.0,33780515135,15111742746,0.0,2922858.0,3664.0,5012.0,0.0,4004932087.0,59465319.0,11351648.0,3416.0500000000006, Time WITHOUT software prefetching: 2075 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2075.0
0.0,150000.0,896.0,22618530.0,16940975.0,38590553980,17339213182,0.0,3402252.0,2129.0,919.0,0.0,4576909271.0,67927714.0,13150325.0,3921.15, Time WITHOUT software prefetching: 2414 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2414.0
0.0,150000.0,1024.0,25247150.0,19157399.0,44092813940,19919672117,4.0,3835793.0,3648.0,4678.0,0.0,5231604399.0,77676140.0,14684908.0,4500.87, Time WITHOUT software prefetching: 2643 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,2643.0
0.0,250000.0,128.0,5283310.0,4153162.0,9166428214,4127142109,6.0,828318.0,3207.0,2243.0,0.0,1097966070.0,16317883.0,3060570.0,936.18, Time WITHOUT software prefetching: 442 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,442.0
