LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,4.0,833540.0,561837.0,529872835,128322409,893.0,136279.0,2632.0,155.0,0.0,82288090.0,37098.0,465240.0,32.59, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 68 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,68.0
0.0,50000.0,128.0,8.0,837372.0,560275.0,529782625,128679982,717.0,130596.0,2366.0,123.0,0.0,82143760.0,44069.0,467971.0,33.68, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 65 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,65.0
0.0,50000.0,128.0,12.0,843592.0,570338.0,529338951,128517967,619.0,130096.0,2350.0,451.0,0.0,80903248.0,50221.0,466116.0,33.04, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 65 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,65.0
0.0,50000.0,128.0,16.0,840666.0,576486.0,526892834,128655235,489.0,128762.0,2342.0,1565.0,0.0,80293035.0,48990.0,465159.0,34.4, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 66 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,66.0
0.0,50000.0,128.0,20.0,862211.0,602396.0,529661562,128342899,390.0,129842.0,2487.0,1893.0,0.0,77534105.0,106086.0,440787.0,32.99, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 64 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,64.0
0.0,50000.0,128.0,24.0,852542.0,598142.0,528234992,128923488,293.0,129208.0,2386.0,5953.0,0.0,76550763.0,89524.0,440101.0,34.13, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 73 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,73.0
0.0,50000.0,128.0,28.0,850441.0,610929.0,527494524,129297269,194.0,128855.0,2448.0,9759.0,0.0,75102295.0,127018.0,426238.0,34.22, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 68 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,68.0
0.0,50000.0,192.0,4.0,1245827.0,836664.0,782422514,189547246,0.0,185722.0,2480.0,10338.0,0.0,116492308.0,82049.0,656816.0,48.47, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 94 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,94.0
0.0,50000.0,192.0,8.0,1249797.0,836260.0,786191730,190229429,0.0,188847.0,2624.0,10805.0,0.0,116099698.0,91793.0,658205.0,49.10999999999999, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 90 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,90.0
0.0,50000.0,192.0,12.0,1254369.0,853740.0,805107141,187928873,0.0,173988.0,2542.0,11059.0,0.0,115672510.0,127425.0,634130.0,49.07, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 89 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,89.0
