LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,1066345.0,854107.0,1838269286,789837843,0.0,194942.0,3275.0,3241.0,0.0,212628973.0,3214102.0,657719.0,181.52, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 217 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,217.0
0.0,50000.0,192.0,1563985.0,1254240.0,2729094363,1179223171,0.0,261856.0,2781.0,3249.0,0.0,318157622.0,4806226.0,952951.0,268.77, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 284 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,284.0
0.0,50000.0,320.0,2682836.0,2150729.0,4508736771,1970395810,0.0,408978.0,1837.0,4240.0,0.0,537239444.0,8114438.0,1552261.0,449.19, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 387 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,387.0
0.0,50000.0,512.0,4361168.0,3278711.0,7236694082,3141982237,0.0,637609.0,2685.0,4402.0,0.0,853829729.0,12871442.0,2577433.0,712.7400000000001, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 544 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,544.0
0.0,50000.0,640.0,5297482.0,4098505.0,9017212880,4070973353,0.0,840114.0,3044.0,2540.0,0.0,1074888355.0,16230259.0,3057235.0,922.71, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 668 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,668.0
0.0,50000.0,784.0,6497115.0,4896638.0,11064972985,4800323147,0.0,1000621.0,2865.0,490.0,0.0,1312649413.0,19790842.0,3792869.0,1088.15, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 796 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,796.0
0.0,50000.0,896.0,7560673.0,5754062.0,12633432086,5487113214,0.0,1150488.0,1920.0,2618.0,0.0,1503153985.0,22670281.0,4350298.0,1244.94, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 893 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,893.0
0.0,50000.0,1024.0,8346337.0,6349692.0,14462332617,6279390671,0.0,1326664.0,2960.0,3086.0,0.0,1713887193.0,25823647.0,4938044.0,1425.18, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 903 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,903.0
0.0,150000.0,128.0,3068624.0,2361047.0,5439016784,2349902206,0.0,518660.0,2949.0,2321.0,0.0,642942457.0,9695641.0,1848129.0,535.24, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 222 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,222.0
0.0,150000.0,192.0,4872018.0,3706293.0,8116736936,3513330064,0.0,735791.0,2966.0,2715.0,0.0,966931445.0,14547436.0,2805050.0,797.2800000000001, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 291 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,291.0
