LocalityHint,TableSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock
0,1000000,4,Time WITHOUT software prefetching: 132 microseconds.14105002,8144144,10895397193,3176093748,0,2163816,1645,4615,0,1558223779,665459,7834209,878.41
0,1000000,8,Time WITHOUT software prefetching: 125 microseconds.14114580,8137722,10905546938,3183670626,0,2160887,1767,2292,0,1566517327,648365,7879110,881.33
0,1000000,12,Time WITHOUT software prefetching: 128 microseconds.14043276,8055924,10804991190,3217709796,0,2147594,1510,2112,0,1571934011,780227,7874544,882.70
0,1000000,16,Time WITHOUT software prefetching: 119 microseconds.13955600,8031624,10808223328,3196841793,0,2184416,2907,2322,0,1563309973,648449,7927691,865.98
0,1000000,20,Time WITHOUT software prefetching: 128 microseconds.14158863,8128554,10875447299,3153869294,0,2166068,2816,4485,0,1571244564,666164,7850551,872.70
0,1000000,24,Time WITHOUT software prefetching: 135 microseconds.14061590,8108651,10887357378,3158991258,0,2182907,2887,565,0,1557969315,794912,7770731,857.03
0,1000000,28,Time WITHOUT software prefetching: 125 microseconds.14021837,8050200,10813220120,3160324501,0,2184732,2867,2341,0,1565505662,648961,7839872,865.66
0,6000000,4,Time WITHOUT software prefetching: 150 microseconds.83374091,48061888,65027262761,19571933039,0,12977463,3611,6342,0,9422634142,4967707,47294724,5348.48
0,6000000,8,Time WITHOUT software prefetching: 143 microseconds.83569612,48350821,65273825645,19645542629,35,12895766,1930,3789,0,9383081225,4951858,46890383,5497.23
0,6000000,12,Time WITHOUT software prefetching: 147 microseconds.83358618,48294319,65277344430,19522779542,0,13037417,3508,7912,0,9366613377,5087273,46597954,5406.02
0,6000000,16,Time WITHOUT software prefetching: 141 microseconds.83483660,48242831,65201168447,19631359122,0,12982564,3546,5802,0,9375593120,5216563,47194269,5312.34
