LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,125000.0,90.0,4.0,1853494.0,1152212.0,1405189627,326488954,12.0,303669.0,2500.0,3373.0,0.0,184880815.0,157641.0,1009400.0,89.26, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 14 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,14.0
0.0,125000.0,90.0,8.0,1973698.0,1268168.0,1397026557,315491928,0.0,289254.0,2561.0,4087.0,0.0,190373106.0,95785.0,1024079.0,80.13, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 15 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,15.0
0.0,125000.0,90.0,12.0,1998580.0,1243553.0,1368833690,314210371,0.0,281418.0,2127.0,1758.0,0.0,193701030.0,79211.0,1045224.0,80.36, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 15 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,15.0
0.0,125000.0,90.0,16.0,1908690.0,1289251.0,1434064847,326265352,0.0,277248.0,2159.0,4384.0,0.0,186837181.0,159009.0,982801.0,83.65, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 16 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,16.0
0.0,125000.0,90.0,20.0,1964736.0,1222572.0,1342670945,320360093,0.0,283948.0,2253.0,1669.0,0.0,194438108.0,79665.0,1035749.0,82.05, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 17 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,17.0
0.0,125000.0,90.0,24.0,1957415.0,1235297.0,1354868686,311829010,0.0,279710.0,2073.0,2199.0,0.0,199358988.0,81844.0,1074045.0,81.98, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 17 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,17.0
0.0,125000.0,90.0,28.0,1978195.0,1271585.0,1401182882,315416570,0.0,282863.0,2291.0,3762.0,0.0,190764971.0,150475.0,1015622.0,80.94, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 18 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,18.0
0.0,125000.0,180.0,4.0,1993019.0,1244353.0,1379108623,314356616,0.0,280018.0,2053.0,2413.0,0.0,192663577.0,78915.0,1032578.0,81.98, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 23 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,23.0
0.0,125000.0,180.0,8.0,1938746.0,1292832.0,1434040923,322150926,0.0,287074.0,2509.0,4646.0,0.0,187894129.0,147392.0,1006006.0,81.89, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 27 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,27.0
0.0,125000.0,180.0,12.0,1960871.0,1278859.0,1413258994,317190344,0.0,285746.0,2485.0,4723.0,0.0,189885767.0,96425.0,1014160.0,81.86, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 22 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,22.0
