LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,90,1869123,1219125,1636180296,367062508,0,299874,3117,2989,0,201189195,117239,1026712,97.02," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 16 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,180,1949197,1285573,1664898652,359326265,0,281951,1784,1996,0,203897860,132913,1000363,88.32," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 26 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,360,1967519,1245613,1599022212,350041559,0,280271,1666,6173,0,206563276,95054,1019012,86.43," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 50 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,720,1979969,1263799,1616370776,352405964,0,278406,1717,10070,0,205324918,114663,1017480,86.77," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 89 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,1024,2006135,1262731,1613029008,353368052,0,279230,1728,13292,0,205226653,128775,1035670,86.53," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 110 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,90,3568275,2238135,3209415351,715948790,0,571308,2507,4548,0,399128295,235856,1927507,173.63," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,180,3629777,2249663,3212368472,719526801,0,559764,3025,4600,0,406589576,171820,1960478,171.38," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 26 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,360,3596426,2257974,3220328963,718869995,0,570612,3759,7965,0,401857069,238925,1940633,170.68," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 50 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,720,3661627,2258281,3218928425,719619278,0,568432,5683,9402,0,404772163,157658,1995820,171.33," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 98 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,1024,3570761,2231869,3205508287,715286954,0,587462,7443,15122,0,398247731,221575,1947088,174.38," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 136 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,90,7039895,4160988,6284794510,1404983575,0,1109950,2551,2085,0,837854449,318577,3941833,339.70," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,180,7017074,4189736,6296892507,1403894100,0,1110852,3042,5157,0,835479812,391969,3903115,336.45," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 27 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,360,6989751,4175498,6278262850,1401132400,0,1117634,4095,6965,0,839566452,333047,3950945,335.82," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 52 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,720,6982344,4176437,6283595335,1402704794,0,1128304,5841,11452,0,836627431,356204,3965369,336.12," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 96 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,1024,7043114,4174003,6294710439,1430341613,0,1123452,7396,15749,0,836675516,383568,3976496,342.22," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 131 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,90,13967188,8206631,12581329622,2798498407,0,2206036,2536,2351,0,1664869030,654118,7729772,667.11," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,180,13986671,8213673,12607430466,2819123100,0,2226459,3029,3032,0,1667211714,647406,7826545,671.74," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 26 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,360,13917316,8206159,12614047340,2823497953,0,2227979,4136,6943,0,1669111577,664083,7828805,672.46," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 48 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,720,13959961,8211882,12622023606,2812850053,0,2242615,6077,9930,0,1668166975,647350,7841777,671.65," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 97 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,1024,13992571,8204260,12588357431,2823155540,0,2233109,1745,177,0,1665295688,646902,7765317,685.62," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 135 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,6000000,90,83295298,48213148,75454896956,16883933930,0,13302718,2033,2262,0,10021589158,4958965,46996240,4020.32," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,6000000,180,83437872,48292846,75512623641,16912626630,0,13203090,3088,2831,0,10006741685,5005652,46995475,4032.32," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 29 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,6000000,360,83489916,48267224,75497788493,16900438425,0,13328192,3966,6289,0,10011388379,4959837,47051671,4036.12," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 54 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,6000000,720,83310897,48179581,75435247867,16965066314,0,13305722,5972,10730,0,10021357916,4960382,47036193,4053.09," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 103 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,6000000,1024,83281062,48313864,75596564073,16945258799,0,13244787,7731,16329,0,10000545520,4980739,46997778,4040.59," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 153 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
