Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,L1-dcache-store-misses,cache-misses,LLC-load-misses,ExecutableOutput
256,66016,2130708,113164851,34257466,0,<not,20245,2122,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
300,355950,3408099,178167710,53323433,0,<not,39531,2290,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
400,4864026,8041329,410739826,118046237,0,<not,70548,3527,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 22 ms to execute  Normalized performance: 0.000000  "
512,16492573,16829179,847470907,251948691,0,<not,121317,6940,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 51 ms to execute  Normalized performance: 0.000000  "
800,64474269,64347159,3171214503,977961763,0,<not,1919963,49760,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 209 ms to execute  Normalized performance: 0.000000  "
1024,135387411,134772044,6603347905,2398476978,0,<not,11357281,812223,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 523 ms to execute  Normalized performance: 0.000000  "
1200,232397240,217157959,10587988007,4058935103,0,<not,32638842,1079050,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 884 ms to execute  Normalized performance: 0.000000  "
1500,581529181,424122926,20592264375,9099810198,0,<not,225256280,6958945,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 2026 ms to execute  Normalized performance: 0.000000  "
1800,1252845293,733739817,35483709174,15103313506,0,<not,564521629,18373690,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3368 ms to execute  Normalized performance: 0.000000  "
2000,1732829305,1004470034,48606433158,19068708849,0,<not,758173593,26618306,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4204 ms to execute  Normalized performance: 0.000000  "
2048,1867621282,1078563284,52175371263,20696401886,0,<not,801162752,33177677,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4543 ms to execute  Normalized performance: 0.000000  "
2400,3004893176,1739823287,83816105899,32011175110,0,<not,1425706641,49326075,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7054 ms to execute  Normalized performance: 0.000000  "
2700,4294269094,2484858186,119201056493,46114391871,0,<not,2103892779,70976214,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10189 ms to execute  Normalized performance: 0.000000  "
3000,5912518617,3463728829,163361175816,63618880635,0,<not,2893071584,99515622,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 14107 ms to execute  Normalized performance: 0.000000  "
257,59044,2153128,114792950,35157779,0,<not,16103,1887,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
301,87463,3440481,180426598,53227891,0,<not,22952,2116,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,4136412,8101046,414711612,118846713,0,<not,73080,3780,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 22 ms to execute  Normalized performance: 0.000000  "
513,16700644,16924871,853930966,238099813,0,<not,118029,5183,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 47 ms to execute  Normalized performance: 0.000000  "
801,64743371,64628973,3186837315,916342828,0,<not,1056260,36217,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 191 ms to execute  Normalized performance: 0.000000  "
1025,135980274,135254588,6628850711,2073972610,0,<not,5724348,210573,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 441 ms to execute  Normalized performance: 0.000000  "
1201,238504679,217639760,10622942404,4431476280,0,<not,53095372,1763239,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 975 ms to execute  Normalized performance: 0.000000  "
1501,535548248,424739094,20646758379,8850503578,0,<not,205417410,6231206,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1954 ms to execute  Normalized performance: 0.000000  "
1801,1268225662,734162796,35562061830,14480793905,0,<not,510935121,17882056,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3203 ms to execute  Normalized performance: 0.000000  "
2001,1713193734,1005846291,48703091108,18691630935,0,<not,707738323,25117538,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4093 ms to execute  Normalized performance: 0.000000  "
2049,1862430618,1080531259,52276708294,20155017068,0,<not,780940828,27413118,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4427 ms to execute  Normalized performance: 0.000000  "
2401,3009814197,1746631907,83955135023,33634328186,0,<not,1417338818,48805615,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7449 ms to execute  Normalized performance: 0.000000  "
2701,4299758483,2497184221,119376904155,45686335458,0,<not,2111110078,71847435,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10055 ms to execute  Normalized performance: 0.000000  "
3001,5922729299,3524690445,163578162740,64199919151,0,<not,2964840008,100197592,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 14255 ms to execute  Normalized performance: 0.000000  "
