TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
2	256	355658696	85864885	4.142074	74859800	7018903	9.38	48708641	55128	0.11	41831	18956	45.32	0	0.022580000
2	300	568604338	121625000	4.675061	119389962	2194273	1.84	77606773	43189	0.06	55781	20542	36.83	0	0.035150000
2	400	1336853663	301928418	4.427717	279738835	20359625	7.28	181615787	395275	0.22	2203460	92866	4.21	0	0.074200000
2	512	2790541184	836371842	3.336484	582685648	59179262	10.16	378010457	97311	0.03	48609191	105876	0.22	0	0.198090000
2	800	10587687079	2201035061	4.810322	2204983425	256309013	11.62	1429100986	219233	0.02	32998183	790538	2.40	0	0.510310000
2	1024	22160277307	6643395130	3.335686	4610469537	509994680	11.06	2987071789	924638	0.03	466607792	6357358	1.36	0	1.516980000
2	1200	35627059670	9368598747	3.802816	7408387801	885643972	11.95	4798905965	75160174	1.57	109360861	39543926	36.16	0	2.148730000
2	1500	69503318066	15947868779	4.358157	14443983605	1741865402	12.06	9354282219	14501791	0.16	212376328	132985837	62.62	0	3.757890000
2	1800	120009630728	27968253508	4.290923	24930045288	2967915108	11.90	16142964352	47656276	0.30	368501398	254342192	69.02	0	6.427300000
2	2000	164559424128	39527990886	4.163111	34177677820	4016973011	11.75	22129477184	58779013	0.27	513240029	413103135	80.49	0	9.156200000
2	2048	176680137949	171511568950	1.030135	36693505804	3645586722	9.94	23758071704	2293875	0.01	3510063205	2500375856	71.23	0	38.408690000
2	2400	284196420600	80439677894	3.533038	59007568046	6536857286	11.08	38202248009	807317165	2.11	914854020	691367975	75.57	0	18.688140000
2	2700	404518887030	87604179909	4.617575	83976018333	10013228836	11.92	54363838747	2482259	0.00	1236445427	1044695138	84.49	0	19.592280000
2	3000	554755414526	125388216149	4.424303	115148941302	13763619210	11.95	74540742166	3220234	0.00	1721158362	1453856600	84.47	0	28.008020000
2	257	361321026	77500854	4.662155	76052960	1696616	2.23	49445975	35780	0.07	36917	10872	29.45	0	0.018210000
2	301	576399331	121157400	4.757442	121022183	2301129	1.90	78620826	43884	0.06	53826	18466	34.31	0	0.031550000
2	401	1350656825	302755037	4.461220	282625056	9083867	3.21	183407799	66333	0.04	1870113	86040	4.60	0	0.071820000
2	513	2813097833	654909667	4.295398	587397928	54121496	9.21	380935071	99092	0.03	7962259	146729	1.84	0	0.157170000
2	801	10642573271	2249633096	4.730804	2216435909	285544458	12.88	1436205052	1442047	0.10	32676599	2043050	6.25	0	0.536300000
2	1025	22250084274	5361041862	4.150328	4629198537	580899623	12.55	2998686531	31722853	1.06	68444677	4968526	7.26	0	1.293270000
2	1201	35750308445	7984462662	4.477485	7434086120	947342251	12.74	4814841666	18789189	0.39	109779848	24507905	22.32	0	1.879080000
2	1501	69695742172	15112042666	4.611934	14484094696	1901473254	13.13	9379152541	23747819	0.25	214452664	92779055	43.26	0	3.531960000
2	1801	120286574592	26287336373	4.575837	24987763573	3179302687	12.72	16178748719	17521106	0.11	369869332	268383024	72.56	0	6.149320000
2	2001	164901240817	36659632253	4.498170	34248910556	4403812566	12.86	22173638902	105724735	0.48	507606975	390480771	76.93	0	8.791720000
2	2049	177038528076	38046775608	4.653181	36768182460	4719187898	12.83	23804364086	1346551	0.01	544993452	403015245	73.95	0	8.512500000
2	2401	284688437086	67162439759	4.238804	59110083823	7551029083	12.77	38265798570	324416482	0.85	876920958	710662700	81.04	0	15.655600000
2	2701	405141468941	113358834589	3.573973	84105736982	10562579365	12.56	54444254028	1320418646	2.43	1248953985	1051091676	84.16	0	26.567100000
2	3001	555523897966	128030406280	4.339000	115309048918	14730946389	12.78	74639993264	521711054	0.70	1710204056	1493891145	87.35	0	30.433740000
3	256	247255810	53402916	4.630006	53506660	3778833	7.06	35670535	27478	0.08	35724	12725	35.62	0	0.013780000
3	300	391940683	81160721	4.829192	84627357	2216326	2.62	56344218	30920	0.05	52021	20352	39.12	0	0.020780000
3	400	921580199	183356890	5.026155	197952631	13833116	6.99	131650634	44394	0.03	1584590	72907	4.60	0	0.045350000
3	512	1915450524	563186874	3.401092	410401763	34810670	8.48	272689487	79524	0.03	29695285	135202	0.46	0	0.136520000
3	800	7246326893	1506613051	4.809680	1547141230	123732657	8.00	1026902746	724087	0.07	21915422	1928090	8.80	0	0.355240000
3	1024	15161449723	6904583123	2.195853	3232343283	257168042	7.96	2144648345	217573	0.01	223450814	29019973	12.99	0	1.557770000
3	1200	24328454868	6165038838	3.946197	5184187199	436023986	8.41	3438705563	43876401	1.28	73403009	19818081	27.00	0	1.407840000
3	1500	47436748936	10533484830	4.503424	10099919725	872391336	8.64	6697718589	416784	0.01	143519157	57680555	40.19	0	2.377140000
3	1800	81879773221	19147829420	4.276191	17423594081	1472826385	8.45	11552513445	597987	0.01	247153993	170105961	68.83	0	4.305330000
3	2000	112298134653	25804829098	4.351826	23888383336	2026733912	8.48	15837959255	5431611	0.03	343393282	249629214	72.69	0	5.850640000
3	2048	120564122125	90708298073	1.329141	25645281331	2024611120	7.89	17002483106	783933	0.00	1907144015	1392103497	72.99	0	20.284640000
3	2400	193818007250	44711421624	4.334866	41214763096	3519831700	8.54	27321443459	138802871	0.51	618195045	471535208	76.28	0	10.379500000
3	2700	275837217667	57996915052	4.756067	58642258420	5063409845	8.63	38871579284	151493884	0.39	836358762	695349302	83.14	0	13.381110000
3	3000	378239149910	75934126700	4.981148	80397687186	6859117267	8.53	53289488550	3657937	0.01	1153159909	984898644	85.41	0	16.975430000
