Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,43441,2985005,127193599,33847424,0,18502,1847,0,11141343,85152,33686,19.83,"Array same : 1 Loop optimized matrix multiplication took 10 ms to execute  Normalized performance: 0.000000  "
300,87938,3874633,179673897,49782055,0,25980,2255,0,17105548,111033,58340,16.67,"Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
400,3688032,9022061,412417697,117524091,0,77632,3416,0,37258769,183651,3310549,30.08,"Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
512,16992546,18286321,873025446,254415774,0,118464,7505,0,75489338,289257,16333794,65.71,"Array same : 1 Loop optimized matrix multiplication took 52 ms to execute  Normalized performance: 0.000000  "
800,64991594,65749540,3166547011,951477027,0,1213756,30390,0,277187594,695262,64119329,223.26,"Array same : 1 Loop optimized matrix multiplication took 201 ms to execute  Normalized performance: 0.000000  "
1024,140200707,133896020,6594815790,2383138719,0,10493221,750941,0,573972863,1136759,134960334,553.12,"Array same : 1 Loop optimized matrix multiplication took 519 ms to execute  Normalized performance: 0.000000  "
1200,228876252,217638484,10584093396,3882733378,0,24155245,740276,0,915426967,1553239,215808830,889.75,"Array same : 1 Loop optimized matrix multiplication took 843 ms to execute  Normalized performance: 0.000000  "
1500,570871560,424309790,20586601978,7717677373,0,154397499,5121273,0,1766157544,2414237,414185615,1739.64,"Array same : 1 Loop optimized matrix multiplication took 1670 ms to execute  Normalized performance: 0.000000  "
1800,1214952739,732187061,35468758230,13156452169,0,434324018,15758374,0,3027079801,3470673,705014319,2963.35,"Array same : 1 Loop optimized matrix multiplication took 2868 ms to execute  Normalized performance: 0.000000  "
2000,1733375181,1005087263,48562234433,19698232424,0,769673795,26031505,0,4137275104,4282793,955170998,4515.68,"Array same : 1 Loop optimized matrix multiplication took 4389 ms to execute  Normalized performance: 0.000000  "
2048,1868580816,1078208012,52159632109,21177789639,0,830065708,35324807,0,4443689508,4486892,1036057347,4825.74,"Array same : 1 Loop optimized matrix multiplication took 4691 ms to execute  Normalized performance: 0.000000  "
2400,3008333256,1741811204,83833464560,32601722315,0,1408200128,47397256,0,7114281665,6156418,1659832479,7406.63,"Array same : 1 Loop optimized matrix multiplication took 7232 ms to execute  Normalized performance: 0.000000  "
2700,4297004700,2490284522,119203830692,44402206298,0,1951945629,66049777,0,10094195419,7782933,2361967026,9982.91,"Array same : 1 Loop optimized matrix multiplication took 9764 ms to execute  Normalized performance: 0.000000  "
3000,5904489079,3458027807,163358839466,60774879286,0,2772433401,93011180,0,13817272902,9616118,3251474419,13655.10,"Array same : 1 Loop optimized matrix multiplication took 13386 ms to execute  Normalized performance: 0.000000  "
257,71440,948461,105998284,34435495,0,17444,1950,0,11286666,85460,23462,9.05,"Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
301,64331,2279130,163285343,51246557,0,25924,2032,0,17307043,112264,42758,13.26,"Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,4332684,8482357,401992744,124766318,0,83573,4125,0,37610729,185161,3844848,31.63,"Array same : 1 Loop optimized matrix multiplication took 24 ms to execute  Normalized performance: 0.000000  "
513,16281235,18389175,883015550,239660405,0,122793,5453,0,76720088,297202,15959246,58.44,"Array same : 1 Loop optimized matrix multiplication took 48 ms to execute  Normalized performance: 0.000000  "
801,65036759,65278410,3195409649,886048784,0,792180,27391,0,282645085,706318,63982341,206.36,"Array same : 1 Loop optimized matrix multiplication took 182 ms to execute  Normalized performance: 0.000000  "
1025,136503193,136001781,6619705272,1934751593,0,3014760,119018,0,573977935,1141186,135081191,442.39,"Array same : 1 Loop optimized matrix multiplication took 406 ms to execute  Normalized performance: 0.000000  "
1201,228545152,218886425,10627285598,3945655135,0,25035587,790837,0,917749105,1554369,216733375,899.42,"Array same : 1 Loop optimized matrix multiplication took 852 ms to execute  Normalized performance: 0.000000  "
1501,550754701,424825026,20632951132,8572600622,0,188172519,5666496,0,1770022768,2417477,416443442,1956.45,"Array same : 1 Loop optimized matrix multiplication took 1884 ms to execute  Normalized performance: 0.000000  "
1801,1178099298,735340458,35585118099,13867825631,0,471880069,15874330,0,3037698286,3471429,700139907,3143.57,"Array same : 1 Loop optimized matrix multiplication took 3042 ms to execute  Normalized performance: 0.000000  "
2001,1701661132,1006445494,48683495574,18762079486,0,712293721,24627016,0,4148162714,4286037,972716555,4244.38,"Array same : 1 Loop optimized matrix multiplication took 4120 ms to execute  Normalized performance: 0.000000  "
2049,1799326233,1080258258,52276488244,20173672935,0,774242994,26180499,0,4448796606,4491713,1046752096,4557.62,"Array same : 1 Loop optimized matrix multiplication took 4430 ms to execute  Normalized performance: 0.000000  "
2401,3010853700,1743078833,83939411820,31638416379,0,1348226244,46984645,0,7130679270,6164162,1684360490,7128.57,"Array same : 1 Loop optimized matrix multiplication took 6953 ms to execute  Normalized performance: 0.000000  "
2701,4286143328,2502010286,119434131032,44912953606,0,1991847841,69275670,0,10113582513,7790335,2408672307,10099.55,"Array same : 1 Loop optimized matrix multiplication took 9881 ms to execute  Normalized performance: 0.000000  "
3001,5892303248,3511773708,163607167826,61325120281,0,2814346655,97022292,0,13839205149,9617833,3296554928,13769.84,"Array same : 1 Loop optimized matrix multiplication took 13501 ms to execute  Normalized performance: 0.000000  "
