Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,L1-dcache-store-misses,cache-misses,LLC-load-misses,ExecutableOutput
256,51947,17127018,146481548,95270461,0,<not,15900,2491,"Normal matrix multiplication took 19 ms to execute  "
300,48877,3455113,231884381,114762796,0,<not,17505,2330,"Normal matrix multiplication took 23 ms to execute  "
400,3462216,57759853,538243325,275373628,0,<not,43296,9517,"Normal matrix multiplication took 58 ms to execute  "
512,123093165,135138450,1115099999,1259376994,0,<not,88341,51510,"Normal matrix multiplication took 277 ms to execute  "
800,65966246,537077378,4193265311,2394860011,0,<not,402179,246750,"Normal matrix multiplication took 520 ms to execute  "
1024,996855323,1220840103,8747651606,18941705324,0,<not,175839293,157914312,"Normal matrix multiplication took 4300 ms to execute  "
1200,218486335,1905477175,14039627476,9558610379,0,<not,59630524,42808495,"Normal matrix multiplication took 2152 ms to execute  "
1500,426048862,3965970832,27335466748,22068722417,0,<not,236161024,155870253,"Normal matrix multiplication took 4962 ms to execute  "
1800,731164587,6850084439,47137934239,34214300784,0,<not,634184433,411466149,"Normal matrix multiplication took 7590 ms to execute  "
2000,1018331372,8918985639,64594373331,48584886895,0,<not,730171279,496763476,"Normal matrix multiplication took 10784 ms to execute  "
2048,8278058873,8870675806,69342615560,334037779891,0,<not,7212441184,7130696598,"Normal matrix multiplication took 74552 ms to execute  "
2400,1889536456,14918714471,111446757777,91534239935,0,<not,1446842432,1029137341,"Normal matrix multiplication took 20338 ms to execute  "
2700,2513672512,22935286324,158545113495,128220077254,0,<not,2115213493,1488334033,"Normal matrix multiplication took 28495 ms to execute  "
3000,3527223714,31570017669,217334097376,162389860401,0,<not,3090127085,2058283750,"Normal matrix multiplication took 36111 ms to execute  "
257,40743,2196621,148136489,72728863,0,<not,13726,1970,"Normal matrix multiplication took 14 ms to execute  "
301,92937,3507142,234140533,117136517,0,<not,20762,4542,"Normal matrix multiplication took 24 ms to execute  "
401,2600317,8503371,542211465,277057952,0,<not,44360,17856,"Normal matrix multiplication took 59 ms to execute  "
513,16180506,23408987,1121555374,573943777,0,<not,93006,47496,"Normal matrix multiplication took 123 ms to execute  "
801,64629294,586316038,4208881391,2216848393,0,<not,368024,227000,"Normal matrix multiplication took 479 ms to execute  "
1025,135267487,1144217845,8773144293,6099469135,0,<not,13399287,8440657,"Normal matrix multiplication took 1362 ms to execute  "
1201,218470996,2049751968,14074571645,11544395027,0,<not,35129328,23051210,"Normal matrix multiplication took 2567 ms to execute  "
1501,426803568,4032717509,27389947035,30179149870,0,<not,181224034,106156491,"Normal matrix multiplication took 6710 ms to execute  "
1801,736526782,7000008222,47216271513,60982015430,0,<not,492023136,266135670,"Normal matrix multiplication took 13553 ms to execute  "
2001,1005855991,9594171370,64691015289,78595057698,0,<not,725696130,392177542,"Normal matrix multiplication took 17462 ms to execute  "
2049,1078915747,10243101352,69443916985,85787357985,0,<not,814958393,463770010,"Normal matrix multiplication took 19060 ms to execute  "
2401,1747853514,16557790292,111585769716,151567453850,0,<not,1383520374,779051640,"Normal matrix multiplication took 33694 ms to execute  "
2701,2489895579,23440430220,158720943071,220111642607,0,<not,2101315075,1256366155,"Normal matrix multiplication took 49161 ms to execute  "
3001,3425032510,32005009631,217551066249,297635685707,0,<not,3215285368,2007532005,"Normal matrix multiplication took 66585 ms to execute  "
