TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
2	256	355658688	83875683	4.240308	74859799	7012343	9.37	48708640	35328	0.07	35399	16486	46.57	0	0.022630000
2	300	568604331	122050028	4.658781	119389962	2225706	1.86	77606773	43695	0.06	105297	22370	21.24	0	0.033600000
2	400	1336853589	308134483	4.338539	279738786	20526383	7.34	181615747	65929	0.04	2304288	75157	3.26	0	0.075130000
2	512	2790541180	849397719	3.285317	582685651	59446361	10.20	378010460	98331	0.03	52469727	111485	0.21	0	0.198350000
2	800	10587687105	2777415037	3.812065	2204983458	250036402	11.34	1429101019	25712985	1.80	32886065	1031724	3.14	0	0.651100000
2	1024	22160276466	10783851059	2.054950	4610468688	495671922	10.75	2987070943	348522	0.01	462972255	37458101	8.09	0	2.420590000
2	1200	35627058905	7460031732	4.775725	7408387043	898438343	12.13	4798905207	471908	0.01	109513338	13924785	12.72	0	1.695300000
2	1500	69503318911	15329808586	4.533867	14443984457	1778423092	12.31	9354283071	24057189	0.26	212351070	101724831	47.90	0	3.652150000
2	1800	120009631785	27080258512	4.431628	24930046352	2982076938	11.96	16142965416	1859215	0.01	368728975	256528144	69.57	0	6.477900000
2	2000	164559425792	39865144581	4.127902	34177679491	4058138805	11.87	22129478855	153763952	0.69	513509825	352890440	68.72	0	9.401600000
2	2048	176680137769	168908879870	1.046009	36693505631	3941942547	10.74	23758071531	23416796	0.10	3816172473	2716500325	71.18	0	37.712920000
2	2400	284196414367	63739695579	4.458704	59007561820	6687782255	11.33	38202241783	2058076	0.01	915259671	678774273	74.16	0	14.586760000
2	2700	404518896083	90451681975	4.472210	83976027393	10074669683	12.00	54363847807	163792123	0.30	1236063166	1067563080	86.37	0	21.818900000
2	3000	554755434217	150698852587	3.681219	115148961000	13561046869	11.78	74540761864	1264798866	1.70	1725037140	1464089764	84.87	0	35.386720000
3	256	247255804	53994812	4.579251	53506661	3764876	7.04	35670536	26318	0.07	40304	14134	35.07	0	0.016320000
3	300	391940675	80520300	4.867601	84627356	2220138	2.62	56344217	33202	0.06	51800	17230	33.26	0	0.021250000
3	400	921580193	185178997	4.976699	197952632	13411195	6.77	131650635	43673	0.03	1534861	71156	4.64	0	0.044830000
3	512	1915450525	554168111	3.456443	410401771	34871638	8.50	272689495	80136	0.03	29807343	115836	0.39	0	0.133150000
3	800	7246326910	1400187791	5.175254	1547141254	123458231	7.98	1026902770	142422	0.01	21809187	698197	3.20	0	0.346490000
3	1024	15161449546	4317841581	3.511349	3232343122	270307738	8.36	2144648186	205794	0.01	236453310	3414749	1.44	0	1.006320000
3	1200	24328454660	5032906819	4.833877	5184186998	442889425	8.54	3438705362	282630	0.01	73441628	9715113	13.23	0	1.153780000
3	1500	47436749482	10870925884	4.363635	10099920278	872018014	8.63	6697719142	20005582	0.30	143808468	58528941	40.70	0	2.576950000
3	1800	81879772449	18953660980	4.319998	17423593316	1476202922	8.47	11552512680	597029	0.01	247378066	163160949	65.96	0	4.357470000
3	2000	112298134934	25394882173	4.422077	23888383624	2045553641	8.56	15837959543	17661513	0.11	343182657	231261417	67.39	0	6.074540000
3	2048	120564119428	90445265724	1.333006	25645278641	2022885368	7.89	17002480416	1349456	0.01	1898774264	1371398967	72.23	0	20.198070000
3	2400	193818007551	43242981563	4.482069	41214763404	3531650545	8.57	27321443767	73831714	0.27	619721590	463762168	74.83	0	10.175800000
3	2700	275837213432	55429829368	4.976332	58642254192	5121668879	8.73	38871575056	16024856	0.04	835995497	678305790	81.14	0	12.848060000
3	3000	378239157954	78352593444	4.827398	80397695237	6907024508	8.59	53289496601	28101289	0.05	1152309706	995662789	86.41	0	19.291570000
4	256	206075372	44522541	4.628563	46535826	2337042	5.02	30346203	23172	0.08	38408	15667	40.79	0	0.012060000
