TileSize,MatrixSize,Instructions,Cycles,IPC,L1-dcache-loads,L1-dcache-load-misses,L1-miss-rate-percent,Branch-instructions,Branch-misses,Branch-miss-rate-percent,Cache-references,Cache-misses,Cache-miss-rate-percent,Context-switches,TimeElapsedMs,TimeElapsedSeconds
2,256,71220232,55221213,1.29,28708099.33,16959473.67,59.08,11075215.33,84970.0,0.77,37258.67,14780.33,39.66,0.0,12.67,0.012666666666666666
2,257,72651845,37532736,1.93,29126082.33,2200148.33,7.55,11285822.33,85901.33,0.76,37025.33,14944.0,40.36,0.0,6.67,0.006666666666666667
2,300,110666721,58070652,1.91,45119837.67,3449281.33,7.64,17015001.67,111919.33,0.66,57255.67,23712.0,42.04,0.0,14.0,0.013999999999999999
2,301,112655768,58733162,1.92,45688552.0,3508165.33,7.68,17306199.0,112295.33,0.65,52131.33,22778.0,43.73,0.0,13.0,0.012999999999999998
2,400,250740123,159278399,1.58,103701955.67,58215463.0,56.14,37896719.67,187493.0,0.5,3323504.67,114239.67,3.46,0.0,32.0,0.032
2,401,254232110,142938499,1.78,104700223.0,8470487.67,8.09,38404970.0,187504.33,0.49,2261703.67,52503.0,2.36,0.0,29.67,0.029666666666666664
2,512,511928411,1085700530,0.47,213525462.33,134852882.0,63.16,76480610.0,294157.33,0.38,122722729.33,98289.67,0.08,0.0,235.67,0.23566666666666666
2,513,517602235,292965734,1.77,215147224.33,22434941.67,10.43,77303123.33,298419.33,0.39,15565300.67,93665.0,0.6,0.0,57.67,0.05766666666666667
2,800,1891219721,2012115791,0.94,796829310.33,530186789.0,66.54,278222474.33,699327.0,0.25,65659093.33,339637.0,0.52,0.0,431.33,0.43133333333333335
2,801,1904923583,1261002146,1.51,800745903.33,564215668.67,70.46,280199050.33,700508.67,0.25,65036275.67,319188.33,0.49,0.0,263.33,0.26333333333333336
2,1024,3919002218,9211021216,0.43,1657423867.0,1077824530.67,65.03,572988554.0,1134203.33,0.2,972641542.67,26500553.0,2.75,0.0,2026.0,2.0260000000000002
2,1025,3941359388,2718299344,1.45,1663812750.0,941088317.67,56.56,576206094.0,1136925.67,0.2,135252994.33,1929276.67,1.43,0.0,577.67,0.5776666666666666
2,1200,6267998728,5664359243,1.11,2656036696.0,1847718287.33,69.57,913428260.0,1553589.0,0.17,227134928.0,16815001.33,7.4,0.0,1230.67,1.2306666666666668
2,1201,6298634202,6644849530,0.96,2664791359.33,1969799732.0,73.92,917832909.33,1554371.67,0.17,225252941.33,22967773.0,10.21,0.0,1445.33,1.4453333333333334
2,1500,12154779111,11969085581,1.02,5162181943.0,3853969279.67,74.66,1764472310.0,2417679.0,0.14,473000075.33,197696936.67,41.8,0.0,2610.0,2.61
2,1501,12202523845,17742740279,0.68,5175825701.0,3847013940.0,74.33,1771328550.0,2417782.33,0.14,454716059.33,179084187.33,39.38,0.0,3902.33,3.9023333333333334
2,1800,20903728686,21729876836,0.96,8891247988.67,6682552633.0,75.16,3026637155.67,3472779.67,0.11,880082689.33,495828523.67,56.34,0.0,4756.33,4.756333333333334
2,1801,20972362254,34863561597,0.6,8910860417.33,6628502135.33,74.39,3036484567.33,3473298.67,0.11,814174009.0,455200881.33,55.91,0.0,7700.67,7.700666666666667
2,2000,28606456022,44754219303,0.64,12176692757.33,8598847474.67,70.62,4136481124.33,4286569.0,0.1,1146248054.33,900672151.67,78.58,0.0,9880.67,9.880666666666668
2,2001,28691115289,49575975596,0.58,12200884098.0,9043527266.0,74.12,4148622448.0,4284353.33,0.1,1164178783.0,1000333583.67,85.92,0.0,10975.67,10.975666666666667
2,2048,30700574188,274867790685,0.11,13070160960.67,8621550525.67,65.96,4438071503.67,4497359.67,0.1,8247065336.33,5700975964.33,69.13,0.0,61232.67,61.23266666666666
2,2049,30789313158,47819391317,0.64,13095506230.67,9723364436.67,74.25,4450782644.67,4491025.33,0.1,1078675836.0,748959605.67,69.43,0.0,10580.33,10.580333333333334
2,2400,49256135873,84987873937,0.58,20990142956.67,14341209077.33,68.32,7108329722.67,6168958.67,0.09,2096737507.0,1545874335.0,73.73,0.0,18825.0,18.825
2,2401,49377888303,96960536507,0.51,21024933922.33,15940278591.33,75.82,7125780672.33,6159936.0,0.09,2612349709.33,2001217008.67,76.61,0.0,21532.0,21.532
2,2700,69993591165,96904591163,0.72,29845969556.33,23607293064.0,79.1,10089855123.0,7872535.33,0.08,3962662854.33,2478911300.33,62.56,0.0,21466.33,21.466333333333335
2,2701,70147571806,128503844850,0.54,29889968573.67,22712637869.0,75.99,10111916623.67,7789650.67,0.08,4015944400.33,2481561816.0,61.79,0.0,28544.33,28.54433333333333
2,3000,95861216873,133167099279,0.72,40896718187.33,31176516602.0,76.23,13806502554.33,9656867.33,0.07,4827931876.33,4071787656.67,84.34,0.0,29524.33,29.524333333333335
2,3001,96051207776,191708994031,0.5,40951007305.0,31430358953.0,76.75,13833716655.0,9612757.0,0.07,5685562296.67,4797730097.67,84.39,0.0,42575.67,42.57566666666667
