TileSize,MatrixSize,Instructions,Cycles,IPC,L1-dcache-loads,L1-dcache-load-misses,L1-miss-rate-percent,Branch-instructions,Branch-misses,Branch-miss-rate-percent,Cache-references,Cache-misses,Cache-miss-rate-percent,Context-switches,TimeElapsedSeconds
2,256,46384418,55182367,0.84,22809347.67,16969788.67,74.4,4783759.67,84658.67,1.77,38646.67,13254.67,34.23,0.0,0.016783333333333334
2,257,47753711,32186197,1.48,23313000.0,2205575.0,9.46,4945119.0,85390.67,1.73,36394.0,15131.0,41.58,0.0,0.009726666666666666
2,300,73228245,48012996,1.53,36118937.0,3646543.0,10.1,7294401.0,111094.0,1.52,52640.0,23175.0,43.99,0.0,0.017576666666666668
2,301,74334282,48439617,1.53,36536951.33,3666993.33,10.04,7430693.33,111719.0,1.5,52190.67,23855.33,45.67,0.0,0.01858333333333333
2,400,155543748,154170922,1.01,80661156.0,60249775.0,74.69,13896720.0,185770.0,1.34,3419755.33,55002.0,1.61,0.0,0.04228333333333334
2,401,158880748,111961987,1.42,81865275.33,8554169.33,10.45,14284817.33,187124.67,1.31,2550475.0,52366.0,2.09,0.0,0.03179666666666667
2,512,311917161,1065062854,0.29,164765642.67,134862920.67,81.85,26148950.67,294404.67,1.13,121832667.67,109399.67,0.09,0.0,0.25020333333333333
2,513,317335268,239185245,1.33,166722589.33,22121991.67,13.27,26774675.33,296427.0,1.11,15786197.0,94802.0,0.6,0.0,0.06224333333333334
2,800,1126426945,1965921596,0.57,608667710.0,531959468.33,87.4,86222473.67,698171.0,0.81,76793487.33,359080.33,0.47,0.0,0.4553233333333333
2,801,1139500487,1298305793,0.88,613395671.33,584029758.0,95.21,87718413.33,700610.33,0.8,78059772.33,366793.33,0.47,0.0,0.3050433333333334
2,1024,2313641819,9206547593,0.25,1261060307.33,1077921456.67,85.48,170335586.33,1133955.33,0.67,965766824.67,41177921.33,4.25,0.0,2.1225566666666666
2,1025,2334963018,2721450195,0.88,1268774679.67,1042605227.67,82.17,172766098.67,1136840.67,0.66,135148535.0,4573423.0,3.38,0.0,0.6309999999999999
2,1200,3683209344,6241858562,0.59,2016674093.33,1875357622.67,92.99,265428060.33,1551364.33,0.58,293028095.33,47766429.67,16.25,0.0,1.4415633333333335
2,1201,3712419729,6834770514,0.55,2027246200.0,2043748321.33,100.81,268752145.0,1554802.0,0.58,332089243.33,48611505.67,14.5,0.0,1.5757533333333333
2,1500,7168786654,11872037156,0.6,3924677461.33,3935671555.33,100.28,508969328.33,2418932.0,0.48,576972095.67,221643708.67,38.43,0.0,2.735223333333334
2,1501,7194116067,16488505537,0.44,3934417558.33,3946427142.33,100.31,511900902.33,2417771.0,0.47,597018228.33,220950585.67,37.0,0.0,3.7976833333333335
2,1800,12171945174,19796495363,0.61,6723684652.33,6575569486.67,97.79,839637419.33,3470348.33,0.41,732560713.33,401356212.67,54.79,0.0,4.55859
2,1801,12237360847,32131182062,0.38,6747372999.0,6586069105.0,97.61,847053744.0,3474847.67,0.41,731752819.0,414473941.67,56.64,0.0,7.336363333333334
2,2000,16626473815,41383370837,0.4,9200688518.33,8554572656.0,92.98,1136480882.67,4279718.33,0.38,1022457392.33,637791299.33,62.38,0.0,9.444953333333332
2,2001,16707157840,41672168977,0.4,9229908875.0,9030021770.33,97.83,1145621220.0,4284501.67,0.37,1003417177.67,655169275.33,65.29,0.0,9.512363333333333
2,2048,17836661565,267740497847,0.07,9874096504.67,8627851697.33,87.38,1216845319.67,4487737.67,0.37,8272280196.0,5605858899.67,67.77,0.0,61.08239
2,2049,17921232356,43920019790,0.41,9904715133.33,9695392570.33,97.89,1226410486.33,4491486.67,0.37,1077305759.0,717766881.33,66.63,0.0,10.025656666666668
2,2400,28548957159,85663313863,0.33,15840697817.67,14315279165.33,90.37,1924329383.67,6154822.0,0.32,1843073805.0,1323536591.33,71.81,0.0,19.546633333333336
2,2401,28664977763,80838516614,0.35,15882722045.67,15595207789.0,98.19,1937457590.67,6159611.67,0.32,1732920830.67,1313625435.0,75.8,0.0,18.72861
2,2700,40716962242,79611082472,0.51,22555959007.67,22181734740.67,98.34,2741527274.67,7790115.0,0.28,2476551026.67,1989950566.33,80.35,0.0,18.300016666666668
2,2701,40798196503,110974865432,0.37,22587262655.67,22201155233.0,98.29,2750855600.67,7790512.67,0.28,2466862706.67,1998281910.67,81.01,0.0,25.320726666666662
2,3000,55406240325,112463303131,0.49,30825708614.33,30414710872.0,98.67,3681498981.33,9606067.67,0.26,3402904150.67,2842047711.0,83.52,0.0,25.821303333333333
2,3001,55587268566,152142628530,0.37,30891291433.67,30441884808.67,98.55,3701961778.67,9610912.33,0.26,3382951797.0,2867267099.0,84.75,0.0,34.71201333333334
