LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,128,1988848,1265527,1402458880,319144429,0,288024,2854,8536,0,195555867,83358,1071354,85.44," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 78 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,129,1946577,1214915,1351756006,312252116,0,283933,1824,1254,0,196529874,87005,1034997,114.63,"malloc(): corrupted top size "
0,125000,256,3710034,2275964,2768796262,635818663,0,564403,1755,306,0,381758925,156351,1994250,158.39," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 131 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,257,3664271,2278594,2791997438,639598697,0,570402,2026,1680,0,369326957,165846,1968476,228.29,"malloc(): corrupted top size "
0,125000,512,7061111,4192233,5391172547,1239787625,0,1125355,1793,2217,0,784066830,381594,4030217,321.03," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 203 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,513,7000368,4178322,5415189451,1246138479,0,1092006,1774,49,0,795381155,315338,3972080,448.42,"malloc(): corrupted top size "
0,125000,720,10032289,5946110,7676992117,1749616778,0,1568183,6223,2343,0,1089558381,493421,5533102,458.50," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 290 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,900,12360311,7300910,9575266719,2182430557,0,1936345,2451,2401,0,1337768180,617935,6941411,782.10,"malloc(): corrupted top size "
0,125000,1024,14053060,8240255,10808114228,2471641001,0,2223528,8200,263,0,1566185503,626164,7856603,659.63," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 304 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,1025,13968574,8213721,10842018396,2471531353,0,2193065,2486,1866,0,1554215203,635284,7855076,888.06,"malloc(): corrupted top size "
0,250000,128,3628955,2259777,2765762390,640827435,0,564678,3089,2293,0,382393070,178726,1969808,160.74," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 84 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,129,3642460,2266963,2788112941,638907752,0,557357,2095,2312,0,385695801,195549,1980268,224.22,"malloc(): corrupted top size "
0,250000,256,7028332,4179878,5397019518,1239853167,0,1092543,1788,16673,0,782806697,386758,3983516,316.53," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 133 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,257,6938369,4104360,5332182273,1228541719,0,1108729,1950,3372,0,794020850,344876,3927127,436.53,"malloc(): corrupted top size "
0,250000,512,14008425,8191827,10797138030,2469758808,0,2179388,4363,29240,0,1564301219,630102,7942302,648.90," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 209 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,513,13808586,8144992,10799548713,2479512888,0,2203100,2206,3768,0,1556449931,682395,7889636,883.24,"malloc(): corrupted top size "
0,250000,720,19705194,11502306,15274775911,3482473327,0,3121252,6163,41147,0,2173251690,894986,10934056,871.52," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 271 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,900,24537271,14302245,19053378512,4335321183,0,3826899,2680,3155,0,2725617895,1094568,13671624,1644.40,"malloc(): corrupted top size "
0,250000,1024,27972113,16281273,21640565661,4946266577,0,4381448,8438,57275,0,3100173826,1247232,15535793,1242.62," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 300 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
