LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,50000,128,839082,598875,616584105,145072405,0,142283,5705,10415,0,82663947,102608,433198,36.28," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 81 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,192,1242065,806397,910182867,211793537,0,175680,1620,11378,0,127096501,51643,667332,53.78," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 163 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,320,2014186,1272556,1616134099,350647464,0,282917,2018,20285,0,206216958,94773,1052076,87.24," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 162 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,512,2958351,1876744,2600868862,577774208,0,481443,13767,32394,0,321683317,188129,1613078,137.94," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 282 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,640,3681378,2294606,3220129984,713571076,0,594952,14575,38056,0,408716623,155436,2001839,170.39," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 262 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,784,4491931,2690093,3917712887,874499323,0,742767,15440,44150,0,498524240,190145,2478788,211.82," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 280 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,896,5001400,3031125,4459322780,991038487,0,842893,17096,50720,0,567042858,215249,2826535,242.29," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 299 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,50000,1024,5682346,3421015,5070547872,1126632499,0,966654,18232,55571,0,650972183,246241,3217033,272.44," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 282 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,150000,128,2341371,1441596,1925030331,418606731,0,347783,5679,9604,0,247241286,94465,1221748,102.47," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 86 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,150000,192,3321929,2079563,2910413267,645268804,0,493703,1652,14432,0,365808614,184649,1777500,155.44," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 125 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,150000,320,5380425,3266748,4780540865,1075773997,0,870277,10078,2109,0,613389765,301839,2918874,262.73," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 166 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,150000,512,8573004,5049186,7536673167,1676939447,0,1364176,1798,2323,0,999628071,414686,4739073,420.45," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 209 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
