LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,90,4,1481874,941722,971381580,226216488,42,192253,1857,631,0,142427220,84406,764808,86.95,"malloc(): corrupted top size "
0,125000,90,8,1444408,930712,937571607,233195058,37,195626,1864,417,0,142404566,78141,769490,83.41,"malloc(): corrupted top size "
0,125000,90,12,1421450,930784,934400658,232159232,31,191616,1697,1727,0,146795619,89095,765930,82.37,"malloc(): corrupted top size "
0,125000,90,16,1468914,964463,997536563,223136200,25,203022,1843,2353,0,132295709,140099,740690,86.91,"malloc(): corrupted top size "
0,125000,90,20,1469872,932392,946959472,231234942,22,192951,1788,117,0,145833753,58847,770719,84.65,"malloc(): corrupted top size "
0,125000,90,24,1467472,910646,919041083,211022050,17,184737,1623,165,0,150781137,78434,781103,79.84,"malloc(): corrupted top size "
0,125000,90,28,1436308,907612,924715786,251782918,12,205155,1776,1200,0,138520091,80245,798631,85.54,"malloc(): corrupted top size "
0,125000,180,4,2519070,1620049,1933367053,448469139,0,403132,1862,2712,0,263455424,148140,1375817,157.14,"malloc(): corrupted top size "
0,125000,180,8,2549288,1598271,1902217330,451400582,0,406327,1890,915,0,265245465,139271,1396639,158.22,"malloc(): corrupted top size "
0,125000,180,12,2494894,1632987,1931229370,446857155,0,407247,1900,3441,0,265020000,209570,1351618,157.02,"malloc(): corrupted top size "
0,125000,180,16,2505776,1611033,1928172510,447637726,0,406429,2490,3415,0,263873579,173628,1375871,156.79,"malloc(): corrupted top size "
0,125000,180,20,2549466,1655432,1969732642,456575674,19,396108,1967,2356,0,264271429,155187,1396938,155.08,"malloc(): corrupted top size "
0,125000,180,24,2514195,1620658,1928297430,447478630,0,408929,2021,2859,0,263966521,127401,1379562,157.70,"malloc(): corrupted top size "
0,125000,180,28,2540683,1616716,1924055301,437856077,0,402686,1825,2187,0,269541509,157916,1387227,158.08,"malloc(): corrupted top size "
0,125000,360,4,5004612,3030127,3837137983,882922471,39,774090,1715,61,0,540803676,217131,2747158,316.62,"malloc(): corrupted top size "
0,125000,360,8,5080970,3085552,3851561282,903866354,34,768025,1921,1388,0,540997696,293866,2799377,312.73,"malloc(): corrupted top size "
0,125000,360,12,5028633,3080485,3874248220,898206274,33,779102,1871,1932,0,522870044,299886,2738742,319.28,"malloc(): corrupted top size "
0,125000,360,16,4794863,2981163,3833097844,910468480,24,786279,1965,1407,0,542021998,247309,2695508,329.59,"malloc(): corrupted top size "
