LocalityHint,TableSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock
0,1000000,4,Time WITH software prefetching: 118 microseconds.13948692,8079302,10848842195,3214716725,780,2203164,2073,3891,0,1540303114,746380,7845630,898.85
0,1000000,8,Time WITH software prefetching: 125 microseconds.13939381,8080521,10884377090,3186291457,683,2195914,2636,1107,0,1555262442,795928,7792465,896.38
0,1000000,12,Time WITH software prefetching: 125 microseconds.13927883,8041185,10844456684,3149038512,586,2192021,2258,876,0,1568538909,647466,7788929,860.19
0,1000000,16,Time WITH software prefetching: 132 microseconds.14092497,8140422,10906816208,3158071582,488,2181679,2365,928,0,1564794486,784830,7766181,859.42
0,1000000,20,Time WITH software prefetching: 121 microseconds.14040682,8050346,10816943016,3202312968,389,2168270,2440,1832,0,1561002484,646852,7864697,871.39
0,1000000,24,Time WITH software prefetching: 128 microseconds.14030751,8121995,10905351689,3196753547,0,2171054,2126,2725,0,1558505545,655045,7894418,871.87
0,1000000,28,Time WITH software prefetching: 130 microseconds.14047730,8053671,10826315978,3176204914,195,2171434,2683,2300,0,1577732194,652222,7851727,894.68
0,6000000,4,Time WITH software prefetching: 126 microseconds.83720687,48392521,65285240895,19354229862,0,12946353,3133,4789,0,9397432912,5107934,46408325,5776.64
0,6000000,8,Time WITH software prefetching: 129 microseconds.83431849,48103805,65127704465,19238956920,684,12972102,2717,3166,0,9427144149,4975659,46791030,5392.02
0,6000000,12,Time WITH software prefetching: 138 microseconds.83567640,47974323,64895651741,19165529811,586,13001643,2932,3163,0,9399464803,4963668,46744249,5457.51
0,6000000,16,Time WITH software prefetching: 125 microseconds.83754731,48365729,65278087133,19153966392,488,12945334,2178,5908,0,9378860182,4950558,46371203,5450.05
0,6000000,20,Time WITH software prefetching: 129 microseconds.83576192,47948492,64880570489,19176530205,390,12987569,3408,4736,0,9412679691,5082628,46788760,5457.94
0,6000000,24,Time WITH software prefetching: 144 microseconds.83627258,48350327,65146100850,19483419124,293,12971224,4176,9147,0,9376936034,4982216,46334164,6063.73
0,6000000,28,Time WITH software prefetching: 260 microseconds.83710493,48040730,64884414128,19536719019,195,13100390,3964,5673,0,9386375395,5012877,46872854,6117.51
0,10000000,4,Time WITH software prefetching: 135 microseconds.139003313,80732645,108950546111,33403027814,0,21672122,3384,12920,0,15677686807,10644250,78291391,9814.14
0,10000000,8,Time WITH software prefetching: 128 microseconds.139180344,80335096,108582396073,33032656197,0,21665413,2033,8244,0,15663122875,10864403,78808583,9222.26
0,10000000,12,Time WITH software prefetching: 144 microseconds.138967000,80358280,108586728849,33130041182,586,21690916,2517,10536,0,15651716072,10653783,78738946,9241.71
0,10000000,16,Time WITH software prefetching: 141 microseconds.139161232,80373578,108586472568,33086316223,488,21752127,2707,6735,0,15652157395,10644456,78496519,9299.29
0,10000000,20,Time WITH software prefetching: 147 microseconds.139195057,80390636,108601726245,33080464848,391,21735510,2745,6158,0,15631200529,10625919,78399928,9303.47
0,10000000,24,Time WITH software prefetching: 158 microseconds.139172802,80374257,108630233317,33422826310,293,21751622,2831,10642,0,15660305750,10753403,78534165,9414.61
0,10000000,28,Time WITH software prefetching: 158 microseconds.138969302,80219039,108457542181,32715525421,195,21704513,2924,11617,0,15676457006,10669731,77669828,9346.80
1,1000000,4,Time WITH software prefetching: 124 microseconds.14090477,8061317,10835552906,3166087015,780,2182128,1870,1224,0,1569274507,734356,7861084,873.21
1,1000000,8,Time WITH software prefetching: 126 microseconds.14024411,8026863,10814298048,3188910538,0,2171427,2314,1762,0,1563402420,710305,7866672,1009.02
1,1000000,12,Time WITH software prefetching: 195 microseconds.13970790,7961924,10718862114,3176182733,587,2194481,1713,1395,0,1548195574,646606,7831563,1012.65
1,1000000,16,Time WITH software prefetching: 119 microseconds.13797947,8051209,10887719327,3235047865,489,2173910,2443,532,0,1576238490,701385,7732860,1017.50
1,1000000,20,Time WITH software prefetching: 138 microseconds.14175269,8165882,10857953428,3204014208,0,2178921,2607,4738,0,1530669633,654635,7737649,1039.19
1,1000000,24,Time WITH software prefetching: 159 microseconds.14225221,8112792,10806527173,3208794893,0,2202048,2953,2567,0,1531006606,666703,7936728,1005.48
1,1000000,28,Time WITH software prefetching: 138 microseconds.14228403,8245232,10966054451,3245541669,196,2152235,1267,2370,0,1532913853,674340,7745721,1011.06
1,6000000,4,Time WITH software prefetching: 126 microseconds.83790097,48450368,65353728481,19190066189,782,12954154,2656,5739,0,9361306540,4954128,46343804,5494.56
1,6000000,8,Time WITH software prefetching: 123 microseconds.84062448,48333360,65066586639,19405037551,684,12981403,2809,4037,0,9334434094,5005554,47184677,5439.39
1,6000000,12,Time WITH software prefetching: 127 microseconds.83520918,48438122,65528533768,19526874161,586,12821684,3152,3561,0,9404185363,4975041,46744618,5539.58
1,6000000,16,Time WITH software prefetching: 123 microseconds.83030558,47999607,65091515903,19551155760,0,12866379,3364,5103,0,9432541682,5010557,46830947,5504.95
1,6000000,20,Time WITH software prefetching: 128 microseconds.83341275,47857328,64787904083,19341889500,391,13024608,3405,5342,0,9385378883,4975758,47300426,5383.60
1,6000000,24,Time WITH software prefetching: 127 microseconds.83851261,48270172,65083387554,19270049014,293,13017874,3241,4637,0,9346798471,5161839,46648254,5432.85
1,6000000,28,Time WITH software prefetching: 129 microseconds.83237205,48043495,65080533437,19156411952,195,12964848,4083,6392,0,9412125589,5045365,46582297,5424.96
1,10000000,4,Time WITH software prefetching: 136 microseconds.139413057,80472480,108652998268,32960620763,0,21570928,2210,8780,0,15657342165,10809094,78103692,9386.90
1,10000000,8,Time WITH software prefetching: 130 microseconds.139271313,80399526,108568140355,33190224501,684,21491476,2249,7922,0,15685471386,10644612,78253986,9413.95
1,10000000,12,Time WITH software prefetching: 140 microseconds.138963109,80310285,108482141917,32721260447,586,21731800,2508,7534,0,15662775735,10974273,77565112,9302.55
1,10000000,16,Time WITH software prefetching: 140 microseconds.139033778,80319271,108566628793,32810907107,488,21696639,2611,8310,0,15661952106,10636013,77643266,9346.15
1,10000000,20,Time WITH software prefetching: 138 microseconds.139282155,80424198,108618800139,32684393654,391,21659194,2816,6360,0,15659122434,10627191,77610151,9335.31
1,10000000,24,Time WITH software prefetching: 147 microseconds.139136606,80370702,108600732491,32657833084,0,21699663,2958,11047,0,15679138591,10725534,77607083,9317.52
1,10000000,28,Time WITH software prefetching: 159 microseconds.139204366,80342852,108535285765,33056266265,195,21693350,3194,9404,0,15661600212,10638434,78539696,9308.85
2,1000000,4,Time WITH software prefetching: 144 microseconds.14088048,8129523,10878765795,3207818826,779,2186260,2087,2485,0,1547462959,655929,7889415,870.90
2,1000000,8,Time WITH software prefetching: 132 microseconds.14257909,8284877,10948207685,3299040208,683,2178220,2198,3066,0,1545915986,655140,7800292,1030.46
2,1000000,12,Time WITH software prefetching: 123 microseconds.13896332,7969783,10760389465,3225871792,0,2198989,2459,1726,0,1549020477,693429,7938302,1008.86
2,1000000,16,Time WITH software prefetching: 151 microseconds.13753622,7979457,10830189998,3247775685,489,2187888,1915,1478,0,1568270448,650783,7883086,1013.52
2,1000000,20,Time WITH software prefetching: 184 microseconds.13956124,8237631,11068593581,3260777466,390,2162757,2317,2078,0,1560585332,642299,7629037,1037.36
2,1000000,24,Time WITH software prefetching: 145 microseconds.13825542,8137296,10969777114,3255018963,293,2157396,2641,1756,0,1580579959,778844,7697205,1027.51
2,1000000,28,Time WITH software prefetching: 132 microseconds.13841873,8148807,10968046508,3257363861,229,2147487,1365,1907,0,1581289791,650129,7684664,1011.50
2,6000000,4,Time WITH software prefetching: 122 microseconds.83841476,48484642,65458982513,19124620115,782,12910605,2696,3838,0,9395009090,4948591,46363540,5463.64
2,6000000,8,Time WITH software prefetching: 125 microseconds.83678546,48002965,64868994393,19093019885,684,13001108,2214,3026,0,9371813725,5101204,46662944,5450.07
2,6000000,12,Time WITH software prefetching: 133 microseconds.83279150,47975560,64987916392,19371661850,586,13019946,2211,4000,0,9423398957,5103216,47290190,5447.37
2,6000000,16,Time WITH software prefetching: 124 microseconds.83101482,48242013,65309187238,19667267299,489,12886451,2997,3715,0,9433098694,4965266,46951169,5463.14
2,6000000,20,Time WITH software prefetching: 134 microseconds.83477460,48376446,65435199230,19381292454,390,12972165,3320,3800,0,9394968835,4947680,46851743,5458.72
2,6000000,24,Time WITH software prefetching: 129 microseconds.83212356,48259408,65378234267,19334764926,293,12918973,3652,2537,0,9421736767,5438653,46911475,5384.09
2,6000000,28,Time WITH software prefetching: 134 microseconds.83591011,47913138,64787139564,19297500216,195,13057903,2386,3355,0,9367684144,5368206,47236912,5415.70
2,10000000,4,Time WITH software prefetching: 131 microseconds.139307359,80385625,108564978833,33070361945,782,21719595,2138,6252,0,15638475919,10677857,78585814,9296.31
2,10000000,8,Time WITH software prefetching: 133 microseconds.139171972,80392538,108600291400,32701774250,684,21713228,2431,8848,0,15644408371,10782178,77774880,9198.48
2,10000000,12,Time WITH software prefetching: 135 microseconds.139256170,80402282,108621126289,32996216230,586,21715465,1767,9080,0,15681583121,10657713,78577768,9290.83
2,10000000,16,Time WITH software prefetching: 137 microseconds.139200770,80371523,108504114534,33200124848,0,21540219,2462,8192,0,15651542481,10895838,78271835,9417.72
2,10000000,20,Time WITH software prefetching: 141 microseconds.139050200,80333725,108531942568,33195269186,391,21548315,2869,10674,0,15662300258,10658857,78234674,9403.51
2,10000000,24,Time WITH software prefetching: 156 microseconds.139190546,80374039,108598530247,33026880176,293,21703391,2744,6752,0,15657590127,10744775,78518571,9298.52
2,10000000,28,Time WITH software prefetching: 147 microseconds.138841098,80257696,108492366308,33165782019,195,21538422,3142,8829,0,15682434758,11067644,78157839,9379.67
3,1000000,4,Time WITH software prefetching: 118 microseconds.14177534,8154612,10886728610,3202710525,0,2179792,1909,3425,0,1556209707,663446,7903683,873.02
3,1000000,8,Time WITH software prefetching: 125 microseconds.14288736,8120834,10792381953,3151573567,683,2185640,2353,4160,0,1532605613,691526,7819277,995.92
3,1000000,12,Time WITH software prefetching: 138 microseconds.13910576,7944838,10705557193,3199416765,586,2198704,2481,3338,0,1571681474,665059,7959429,994.27
3,1000000,16,Time WITH software prefetching: 185 microseconds.13760749,8031873,10879728691,3257803770,491,2170593,2773,518,0,1587173972,655366,7749137,1022.35
3,1000000,20,Time WITH software prefetching: 133 microseconds.13980075,8070202,10856703764,3212806371,390,2193979,2849,2879,0,1551382892,653846,7827689,1035.97
3,1000000,24,Time WITH software prefetching: 129 microseconds.14137525,8053024,10724854437,3263938150,299,2185564,2679,1386,0,1548980378,670420,7876768,1054.70
3,1000000,28,Time WITH software prefetching: 151 microseconds.13942208,8175281,10965907043,3233013588,195,2169208,1588,2056,0,1563994901,655626,7626786,1013.64
3,6000000,4,Time WITH software prefetching: 125 microseconds.83711937,48444640,65408390050,19101854502,0,12979536,2486,3015,0,9343136901,4965042,46317852,5472.52
3,6000000,8,Time WITH software prefetching: 127 microseconds.82981818,48175191,65251016328,19172497128,0,12929101,2982,3316,0,9436023408,4974543,46332107,5440.78
3,6000000,12,Time WITH software prefetching: 131 microseconds.83324109,48171705,65235510879,19154729919,586,12951728,2865,2946,0,9392349110,4964419,46524887,5436.75
3,6000000,16,Time WITH software prefetching: 125 microseconds.83830784,48170897,65018846563,19245797285,488,12967465,2348,2995,0,9367246572,5035434,47201014,5351.33
3,6000000,20,Time WITH software prefetching: 124 microseconds.83548672,47980351,64948782438,19149656044,391,13018741,3358,4259,0,9352113037,5053726,46742861,5369.49
3,6000000,24,Time WITH software prefetching: 125 microseconds.83573154,48411840,65392824147,19131215390,293,12935526,3412,4619,0,9396577641,5077257,46424400,5400.45
3,6000000,28,Time WITH software prefetching: 130 microseconds.83613679,48013476,64890491275,19059717823,0,13038005,3576,4838,0,9352047126,5105653,46625051,5409.38
3,10000000,4,Time WITH software prefetching: 130 microseconds.139268229,80382364,108562796952,32660485327,781,21702843,2264,8301,0,15662728517,10631646,77797156,9218.91
3,10000000,8,Time WITH software prefetching: 129 microseconds.139267326,80387020,108601189932,32667580216,0,21639133,2179,7456,0,15662477733,10641650,77813923,9189.17
3,10000000,12,Time WITH software prefetching: 144 microseconds.139061503,80289422,108526716578,33005803020,196,21676021,2251,8296,0,15683083539,10830124,78731331,9190.79
3,10000000,16,Time WITH software prefetching: 136 microseconds.139087972,80283620,108545051323,32910471980,488,21707643,2639,8493,0,15661992308,10811028,77944201,9311.53
3,10000000,20,Time WITH software prefetching: 145 microseconds.139327833,80323607,108475101051,32872213924,391,21662648,1616,9235,0,15675066200,10675423,77933294,9360.29
3,10000000,24,Time WITH software prefetching: 150 microseconds.139163727,80461836,108614758809,33017705453,293,21679295,3115,9225,0,15671121548,10692829,78676488,9205.78
3,10000000,28,Time WITH software prefetching: 149 microseconds.139065382,80279542,108502868216,33220841875,195,21518041,1571,6021,0,15672984515,10650192,78301148,9392.83
