LocalityHint,TableSize,PrefetchDistance,cycles,instructions,cache-misses,LLC-load-misses,l2_rqsts.miss,L1-dcache-load-misses
0,1000000,4,Time WITHOUT software prefetching: 118 microseconds.3181049569,10853337813,2242005,4505,13977434,8057250
0,1000000,8,Time WITHOUT software prefetching: 177 microseconds.3211204584,10853311828,2188478,3434,13958121,8050525
0,1000000,12,Time WITHOUT software prefetching: 202 microseconds.3236353739,10853317666,2186450,2962,13958577,8051818
0,1000000,16,Time WITHOUT software prefetching: 127 microseconds.3170518875,10853327104,2196422,3858,13958151,8051726
0,1000000,20,Time WITHOUT software prefetching: 200 microseconds.3167090374,10853336259,2186446,2952,13956665,8048950
0,1000000,24,Time WITHOUT software prefetching: 118 microseconds.3184286036,10853314401,2188292,3028,13953594,8049182
0,1000000,28,Time WITHOUT software prefetching: 124 microseconds.3182400452,10853318158,2185907,3115,13955535,8049379
0,6000000,4,Time WITHOUT software prefetching: 129 microseconds.19011394148,65134697592,13018627,4958,83460121,48090345
0,6000000,8,Time WITHOUT software prefetching: 126 microseconds.19130073589,65134700969,13044964,5750,83446921,48083530
0,6000000,12,Time WITHOUT software prefetching: 125 microseconds.19135454717,65134747846,13055049,5444,83443240,48082330
0,6000000,16,Time WITHOUT software prefetching: 128 microseconds.19147362141,65134713445,13053954,5264,83439721,48081030
0,6000000,20,Time WITHOUT software prefetching: 129 microseconds.19168833307,65134702464,13062369,5829,83446273,48099629
0,6000000,24,Time WITHOUT software prefetching: 130 microseconds.19131527774,65134710767,13048714,5520,83443643,48079851
0,6000000,28,Time WITHOUT software prefetching: 127 microseconds.19225465306,65134670468,13033365,6020,83455875,48099694
0,10000000,4,Time WITHOUT software prefetching: 148 microseconds.32461956408,108564334619,21618133,9981,139227519,80298909
0,10000000,8,Time WITHOUT software prefetching: 141 microseconds.32333458999,108564429062,21624651,8644,139185139,80246420
0,10000000,12,Time WITHOUT software prefetching: 147 microseconds.32419271523,108564427758,21631301,8622,139175355,80233948
0,10000000,16,Time WITHOUT software prefetching: 142 microseconds.32743650001,108564493490,21661494,9214,139219444,80301834
0,10000000,20,Time WITHOUT software prefetching: 148 microseconds.32502269613,108564402444,21646315,9247,139191614,80262828
0,10000000,24,Time WITHOUT software prefetching: 148 microseconds.32678298297,108564367854,21707829,9158,139220214,80268236
0,10000000,28,Time WITHOUT software prefetching: 159 microseconds.33293575313,108564434607,21573118,9210,139248148,80296570
1,1000000,4,Time WITHOUT software prefetching: 330 microseconds.3180210294,10853326822,2197479,3539,13960732,8050616
1,1000000,8,Time WITHOUT software prefetching: 119 microseconds.3168754914,10853322264,2193830,3051,13960453,8055548
1,1000000,12,Time WITHOUT software prefetching: 123 microseconds.3160760987,10853329601,2184435,2803,13954048,8048666
1,1000000,16,Time WITHOUT software prefetching: 118 microseconds.3166137223,10853315645,2191715,2851,13954058,8047438
1,1000000,20,Time WITHOUT software prefetching: 281 microseconds.3189766557,10853325171,2193989,2993,13957699,8051355
1,1000000,24,Time WITHOUT software prefetching: 120 microseconds.3194405189,10853326836,2194229,3372,13955457,8049225
1,1000000,28,Time WITHOUT software prefetching: 368 microseconds.3208892370,10853326329,2201025,3008,13957683,8050685
1,6000000,4,Time WITHOUT software prefetching: 127 microseconds.19341726458,65134665160,13012706,5685,83478204,48131656
1,6000000,8,Time WITHOUT software prefetching: 124 microseconds.19183514126,65134704882,13026383,5717,83454326,48094109
1,6000000,12,Time WITHOUT software prefetching: 125 microseconds.19124994609,65134744298,13001740,5319,83459974,48091656
1,6000000,16,Time WITHOUT software prefetching: 122 microseconds.19151136457,65134638936,13036929,5335,83447933,48088459
1,6000000,20,Time WITHOUT software prefetching: 124 microseconds.18923091503,65134698019,13002196,5810,83455421,48092887
1,6000000,24,Time WITHOUT software prefetching: 135 microseconds.19254331689,65134695237,12991214,5775,83489899,48126868
1,6000000,28,Time WITHOUT software prefetching: 123 microseconds.19118949488,65134695830,13009589,5278,83464478,48093314
1,10000000,4,Time WITHOUT software prefetching: 155 microseconds.32891422347,108564510648,21613290,9222,139218827,80309258
1,10000000,8,Time WITHOUT software prefetching: 151 microseconds.32313767357,108564457024,21605981,9117,139191602,80243567
1,10000000,12,Time WITHOUT software prefetching: 150 microseconds.32503891163,108564351726,21636721,9187,139181871,80239092
1,10000000,16,Time WITHOUT software prefetching: 148 microseconds.32316926364,108564404706,21713108,9488,139199835,80273339
1,10000000,20,Time WITHOUT software prefetching: 159 microseconds.32794035524,108564437749,21693558,9937,139195199,80318857
1,10000000,24,Time WITHOUT software prefetching: 148 microseconds.32555127928,108564392970,21638951,9433,139207627,80278569
1,10000000,28,Time WITHOUT software prefetching: 161 microseconds.32355440283,108564454546,21710421,9337,139209883,80272706
2,1000000,4,Time WITHOUT software prefetching: 118 microseconds.3155913891,10853322847,2194805,3637,13960825,8050301
2,1000000,8,Time WITHOUT software prefetching: 126 microseconds.3152539802,10853328945,2194670,3057,13951458,8046790
2,1000000,12,Time WITHOUT software prefetching: 155 microseconds.3196272481,10853331582,2191489,3019,13957507,8047958
2,1000000,16,Time WITHOUT software prefetching: 121 microseconds.3206084494,10853320986,2188765,2901,13958208,8050211
2,1000000,20,Time WITHOUT software prefetching: 121 microseconds.3155546059,10853313149,2188500,3088,13956910,8049267
2,1000000,24,Time WITHOUT software prefetching: 123 microseconds.3211882955,10853327427,2184834,3055,13957021,8050072
2,1000000,28,Time WITHOUT software prefetching: 135 microseconds.3236508436,10853317566,2185250,3029,13957837,8052373
2,6000000,4,Time WITHOUT software prefetching: 130 microseconds.19240023245,65134623046,13000539,5101,83467868,48105492
2,6000000,8,Time WITHOUT software prefetching: 136 microseconds.19023270521,65134657480,13027118,5469,83440508,48084655
2,6000000,12,Time WITHOUT software prefetching: 137 microseconds.19150636094,65134735177,13035455,5826,83467872,48100507
2,6000000,16,Time WITHOUT software prefetching: 136 microseconds.19265615269,65134662481,13002996,5255,83491503,48122223
2,6000000,20,Time WITHOUT software prefetching: 129 microseconds.19161722783,65134751965,13038258,5769,83456507,48097247
2,6000000,24,Time WITHOUT software prefetching: 186 microseconds.20197316062,65134722114,13174783,10626,83604238,48273157
2,6000000,28,Time WITHOUT software prefetching: 126 microseconds.19309773515,65134701843,13112704,6861,83521885,48123753
2,10000000,4,Time WITHOUT software prefetching: 154 microseconds.32907447991,108564436409,21683790,9791,139205276,80278376
2,10000000,8,Time WITHOUT software prefetching: 153 microseconds.32594575886,108564404623,21639302,9366,139199059,80280324
2,10000000,12,Time WITHOUT software prefetching: 145 microseconds.32659503830,108564463904,21632936,9106,139244283,80282805
2,10000000,16,Time WITHOUT software prefetching: 142 microseconds.32632169789,108564374337,21648396,8489,139195659,80247543
2,10000000,20,Time WITHOUT software prefetching: 146 microseconds.32335428928,108564446680,21713339,9455,139205926,80305945
2,10000000,24,Time WITHOUT software prefetching: 148 microseconds.32366494125,108564406049,21674535,9603,139192522,80266634
2,10000000,28,Time WITHOUT software prefetching: 170 microseconds.32701480485,108564403297,21684598,9185,139211575,80272989
3,1000000,4,Time WITHOUT software prefetching: 128 microseconds.3267408458,10853327350,2196992,4091,13971786,8082668
3,1000000,8,Time WITHOUT software prefetching: 122 microseconds.3153758258,10853338425,2194995,3159,13951539,8046590
3,1000000,12,Time WITHOUT software prefetching: 120 microseconds.3155260916,10853320980,2193863,2710,13951497,8046626
3,1000000,16,Time WITHOUT software prefetching: 119 microseconds.3155709847,10853329514,2196295,2890,13952864,8045780
3,1000000,20,Time WITHOUT software prefetching: 120 microseconds.3161588980,10853316062,2192576,2952,13950655,8046737
3,1000000,24,Time WITHOUT software prefetching: 237 microseconds.3162233918,10853317951,2193983,3442,13953710,8046501
3,1000000,28,Time WITHOUT software prefetching: 122 microseconds.3199976974,10853337731,2189240,3172,13954001,8048553
3,6000000,4,Time WITHOUT software prefetching: 126 microseconds.19159078264,65134645571,13026526,5065,83458826,48110530
3,6000000,8,Time WITHOUT software prefetching: 124 microseconds.18969461376,65134698485,13061879,5523,83465877,48108888
3,6000000,12,Time WITHOUT software prefetching: 143 microseconds.19151104427,65134705985,13025940,5499,83466805,48100128
3,6000000,16,Time WITHOUT software prefetching: 129 microseconds.19017905082,65134630364,13014970,5201,83442812,48082975
3,6000000,20,Time WITHOUT software prefetching: 123 microseconds.18929066225,65134680484,13046977,5209,83445878,48080371
3,6000000,24,Time WITHOUT software prefetching: 119 microseconds.18955936950,65134676135,12979413,5449,83482772,48119475
3,6000000,28,Time WITHOUT software prefetching: 133 microseconds.19242056015,65134671949,12997564,5268,83468306,48109939
3,10000000,4,Time WITHOUT software prefetching: 146 microseconds.32351322892,108564493955,21685683,9251,139209281,80269701
3,10000000,8,Time WITHOUT software prefetching: 147 microseconds.32347815226,108564494931,21610362,8996,139205772,80316277
3,10000000,12,Time WITHOUT software prefetching: 151 microseconds.32686488155,108564445046,21689444,9278,139207889,80259914
3,10000000,16,Time WITHOUT software prefetching: 154 microseconds.32588466727,108564413061,21652587,9264,139196075,80283427
3,10000000,20,Time WITHOUT software prefetching: 144 microseconds.32378491850,108564462544,21620767,9321,139203761,80272558
3,10000000,24,Time WITHOUT software prefetching: 146 microseconds.32297054163,108564460219,21613119,8787,139189926,80273770
3,10000000,28,Time WITHOUT software prefetching: 155 microseconds.32334337359,108564382684,21702791,9605,139203143,80323791
