LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,90,2610377,2193828,1719550368,597445002,23050,3545862,46055,33143,10,222545762,107244,3862026,168.67," Time WITHOUT software prefetching: 50 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,180,3227270,2488994,1736611474,612021044,24702,3120035,21576,33120,6,228679371,124629,4630416,176.04," Time WITHOUT software prefetching: 51 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,360,3100778,2425429,1800198212,619994794,22319,3115354,18114,23277,2,209169258,119825,4356458,177.19," Time WITHOUT software prefetching: 144 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,720,2814393,2359789,1638010167,612991184,23260,3403180,56542,79439,7,230040206,131205,4177932,182.55," Time WITHOUT software prefetching: 230 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1024,3090741,2365917,1792751982,610541442,20147,3020967,24006,41243,7,213561097,132134,4850365,174.52," Time WITHOUT software prefetching: 236 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,90,5579127,4508197,3514824516,1196156206,40039,6275227,68422,72726,5,434711483,234152,8054074,339.58," Time WITHOUT software prefetching: 32 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,180,5984279,4667733,3548750607,1207237168,40169,6094226,44672,57107,7,423735204,240525,8672663,341.36," Time WITHOUT software prefetching: 54 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,360,5501272,4464574,3484886162,1178504981,38962,6011986,39489,49676,6,434244506,232469,8184341,329.69," Time WITHOUT software prefetching: 91 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,720,5518163,4521529,3484083775,1169178563,39889,6302974,60129,47872,9,438184275,206462,7648329,324.56," Time WITHOUT software prefetching: 174 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,1024,5608469,4584208,3474390776,1167653380,39915,6054383,42689,36242,7,438841258,224240,8089968,332.05," Time WITHOUT software prefetching: 234 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,500000,90,10968101,9192128,6908941830,2367579266,82815,11931292,93239,104888,14,875558179,463936,16114673,668.64," Time WITHOUT software prefetching: 40 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,500000,180,10984192,9003229,6979078252,2361573514,76917,11934571,104123,133555,18,869220030,473197,16455998,664.59," Time WITHOUT software prefetching: 56 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,500000,360,11026170,9223433,6884731168,2373620272,78742,12463251,102825,120664,14,879223430,452229,16247752,698.53," Time WITHOUT software prefetching: 85 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,500000,720,11003052,9422774,6927629265,2443988280,80192,12351282,99862,109014,12,872418075,458200,16033392,684.34," Time WITHOUT software prefetching: 178 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,500000,1024,11391908,9156238,6936726088,2357888811,77677,12057062,115808,121777,12,870445949,455186,16694308,692.13," Time WITHOUT software prefetching: 255 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
