LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,128,1923442,1163487,1673077377,450080263,0,311132,2095,10544,0,183514445,157482,1023650,117.58," Time WITHOUT software prefetching: 85 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,129,2047633,1301631,1682164111,457833888,0,289769,5999,8912,0,217205694,116460,1062701,110.80," Time WITHOUT software prefetching: 70 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,256,3738224,2302689,3244747763,879571878,0,582590,8646,11074,0,401555127,198665,1978162,206.57," Time WITHOUT software prefetching: 106 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,257,3686062,2341704,3324171202,897148200,0,598454,6235,10308,0,400913914,197925,1971715,212.28," Time WITHOUT software prefetching: 109 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,512,7177561,4297602,6385920596,1740175752,0,1150606,13065,16006,0,831266969,351723,3933859,410.17," Time WITHOUT software prefetching: 154 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,513,7153828,4294380,6387942786,1757624752,0,1119378,8131,14832,0,830951283,355654,3973930,414.18," Time WITHOUT software prefetching: 164 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,720,10163868,6048591,9052038861,2448062696,0,1604052,16706,22773,0,1160662297,513860,5511125,574.66," Time WITHOUT software prefetching: 209 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,900,12369019,7261467,11065083279,3101139667,0,2015024,18060,5492,0,1473345684,589939,6926718,726.69," Time WITHOUT software prefetching: 252 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1024,14102578,8293317,12660973520,3459694454,0,2225943,1783,29705,0,1668936535,640832,7820191,813.47," Time WITHOUT software prefetching: 242 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1025,14124513,8246723,12681428845,3483586213,0,2282371,11972,23916,0,1685814565,701733,7834933,837.45," Time WITHOUT software prefetching: 256 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,128,3798102,2302742,3244452749,886177985,0,568964,7117,8242,0,402736766,158856,1996972,207.51," Time WITHOUT software prefetching: 75 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,129,3718696,2361642,3344542044,901878622,0,584419,6063,9335,0,403229659,193199,1973301,211.64," Time WITHOUT software prefetching: 76 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,256,7161566,4268158,6376369016,1737840268,0,1137278,8594,9506,0,831353535,319796,3927194,413.11," Time WITHOUT software prefetching: 115 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,257,7141349,4276191,6394705896,1758455395,0,1119228,6049,9137,0,834136247,325002,3973658,415.75," Time WITHOUT software prefetching: 114 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,512,14065387,8244823,12642020798,3499162522,0,2263995,12208,159,0,1669071370,623426,7884212,820.60," Time WITHOUT software prefetching: 160 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,513,14117001,8303688,12708296788,3455384095,0,2248488,7793,14619,0,1674015492,709354,7807675,811.26," Time WITHOUT software prefetching: 173 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,720,19872024,11565569,17858271931,4857035499,0,3149627,13681,18722,0,2342709290,941850,10981339,1135.84," Time WITHOUT software prefetching: 215 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,900,24604706,14331764,22165234070,7143855839,0,3831092,18610,2514,0,2957070457,1138322,13721938,1682.64," Time WITHOUT software prefetching: 239 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
