LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,128,1995924,1303835,1360982779,347947909,0,294803,1815,1067,0,196398877,90613,1047575,92.24," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 90 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,129,1955659,1191897,1335597842,300283233,0,285513,1884,866,0,204565065,82316,1029962,113.63,"malloc(): corrupted top size "
0,125000,256,3658049,2273646,2769224783,632860377,0,576543,3811,2242,0,380546934,212454,1992951,158.45," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 136 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,257,3651939,2273785,2789169977,637285128,0,557519,1982,2178,0,376517357,205179,1997642,224.74,"malloc(): corrupted top size "
0,125000,512,7024176,4174873,5414853993,1237343927,0,1139791,5184,28519,0,785228674,319240,3934559,310.61," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 195 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,513,6900513,4092336,5323818597,1225333527,0,1109825,1964,4741,0,793267940,400310,3924350,433.25,"malloc(): corrupted top size "
0,125000,720,10053297,5957742,7684227137,1741014449,0,1535116,5832,40405,0,1087077505,520300,5628617,447.13," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 268 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,900,12233390,7257943,9572421632,2187783955,0,1949011,2424,2870,0,1346405601,543230,6781224,750.05,"malloc(): corrupted top size "
0,125000,1024,14016223,8255045,10822011859,2467365467,0,2230347,8245,1592,0,1565562105,644487,7840140,655.21," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 281 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,1025,13860878,8169710,10799165084,2482257590,0,2205425,2259,2927,0,1549481818,618415,7881776,881.34,"malloc(): corrupted top size "
