LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,971387.0,728145.0,693374419,182439209,0.0,144594.0,6967.0,9059.0,0.0,77621541.0,54316.0,423976.0,45.35, Time WITHOUT software prefetching: 70 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,70.0
0.0,50000.0,192.0,1083465.0,697141.0,866973028,267194740,0.0,211600.0,7025.0,717.0,0.0,138117823.0,49767.0,664201.0,65.87, Time WITHOUT software prefetching: 101 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,101.0
0.0,50000.0,320.0,1990744.0,1234584.0,1589553387,446477762,0.0,300230.0,7847.0,11255.0,0.0,217206130.0,145065.0,1069752.0,107.58, Time WITHOUT software prefetching: 122 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,122.0
0.0,50000.0,512.0,2893181.0,1856165.0,2620877087,712150198,0.0,481112.0,12637.0,16737.0,0.0,325573714.0,209311.0,1592748.0,168.63, Time WITHOUT software prefetching: 153 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,153.0
0.0,50000.0,640.0,3755308.0,2289762.0,3236504144,901126099,0.0,594312.0,14619.0,18608.0,0.0,400459962.0,169372.0,2017502.0,210.30000000000004, Time WITHOUT software prefetching: 204 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,204.0
0.0,50000.0,784.0,4406182.0,2692566.0,3860112092,1099156351,0.0,762466.0,16394.0,2307.0,0.0,495082185.0,258486.0,2427791.0,259.69, Time WITHOUT software prefetching: 228 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,228.0
0.0,50000.0,896.0,5065011.0,3116738.0,4490494853,1239152090,0.0,856990.0,18213.0,2214.0,0.0,559956238.0,248699.0,2747056.0,292.45, Time WITHOUT software prefetching: 248 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,248.0
0.0,50000.0,1024.0,5518187.0,3389758.0,5043674038,1424762258,0.0,970803.0,21657.0,27074.0,0.0,663205489.0,282609.0,3165398.0,339.34, Time WITHOUT software prefetching: 241 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,241.0
0.0,150000.0,128.0,2357772.0,1489933.0,1952957318,527530318,0.0,355366.0,7257.0,327.0,0.0,238966451.0,90729.0,1180027.0,128.54, Time WITHOUT software prefetching: 70 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,70.0
0.0,150000.0,192.0,3284183.0,2042273.0,2886633269,806262259,0.0,534864.0,2425.0,2598.0,0.0,368339346.0,155714.0,1802077.0,189.69999999999996, Time WITHOUT software prefetching: 102 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,102.0
