LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,829277.0,592420.0,617721874,142594100,0.0,144951.0,7117.0,9522.0,0.0,82528130.0,77783.0,436882.0,36.02, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 88 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,88.0
0.0,50000.0,192.0,1261819.0,844191.0,939637153,212149498,20.0,171421.0,1509.0,9060.0,0.0,124848598.0,121727.0,636688.0,53.54999999999999, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 128 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,128.0
0.0,50000.0,320.0,2049913.0,1271064.0,1614331302,352782533,0.0,284044.0,2191.0,9455.0,0.0,207537205.0,79673.0,1053334.0,88.25, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 172 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,172.0
0.0,50000.0,512.0,2966570.0,1878975.0,2609280697,574074420,0.0,475794.0,11947.0,14937.0,0.0,322798302.0,177255.0,1604649.0,137.34, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 205 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,205.0
0.0,50000.0,640.0,3599461.0,2259934.0,3231194500,715262530,0.0,610565.0,12473.0,18001.0,0.0,401899252.0,238973.0,2001198.0,172.27, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 261 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,261.0
0.0,50000.0,784.0,4368336.0,2696869.0,3929476814,863859972,0.0,741222.0,14964.0,20160.0,0.0,493079143.0,265958.0,2414251.0,206.16, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 281 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,281.0
0.0,50000.0,896.0,5070801.0,3100200.0,4465426015,1001747223,0.0,837841.0,15715.0,20172.0,0.0,565720698.0,287755.0,2769754.0,246.55000000000004, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 339 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,339.0
0.0,50000.0,1024.0,5654317.0,3415760.0,5062001731,1127289617,0.0,965051.0,21680.0,24173.0,0.0,656692130.0,252997.0,3202727.0,272.34, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 297 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,297.0
0.0,150000.0,128.0,2344052.0,1446975.0,1927156992,418936162,0.0,348050.0,7202.0,8003.0,0.0,246893068.0,94200.0,1230494.0,102.48, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 110 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,110.0
0.0,150000.0,192.0,3335591.0,2080129.0,2909402074,641258292,0.0,493234.0,8062.0,10981.0,0.0,365432825.0,184084.0,1804214.0,152.43, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 187 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,187.0
