LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,64,929633,671057,736025114,224887156,0,185470,2472,2592,0,99247344,85631,511589,55.64," Time WITHOUT software prefetching: 51 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,128,1974341,1205576,1554178349,442793555,0,290466,7335,9955,0,216984347,118958,1060171,107.29," Time WITHOUT software prefetching: 74 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,256,3733842,2322122,3302245607,887637793,0,586194,8605,11066,0,401480742,212837,1949950,209.43," Time WITHOUT software prefetching: 114 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,300,4356707,2679924,3819458046,1041035404,0,685799,8086,12068,0,465972007,263419,2334231,245.09," Time WITHOUT software prefetching: 122 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,512,6952451,4218920,6357484516,1757878901,0,1162347,1878,2953,0,832954841,391012,3941931,418.45," Time WITHOUT software prefetching: 149 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,720,10106569,6039100,9040253089,2453062178,0,1600588,16582,22395,0,1159896836,506660,5481727,576.18," Time WITHOUT software prefetching: 222 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,900,12360172,7242745,11104295528,3086944596,0,2004830,17509,21529,0,1467649377,551755,7027937,732.59," Time WITHOUT software prefetching: 242 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1024,13893782,8144485,12555800054,3510734375,0,2287234,22829,27958,0,1671903591,690182,7886194,836.06," Time WITHOUT software prefetching: 246 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1200,16701779,9757424,14877402498,4150208359,0,2627774,18514,23545,0,1972016746,731363,9320208,1008.51," Time WITHOUT software prefetching: 302 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,125000,1500,20373121,11854587,18401648576,5051044923,0,3332742,26435,33847,0,2452000762,910739,11473689,1198.60," Time WITHOUT software prefetching: 348 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,64,2014316,1231698,1578285695,445634709,0,278433,4895,5827,0,220532997,94211,1052458,109.84," Time WITHOUT software prefetching: 48 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,128,3750560,2349736,3310628622,902427842,0,563235,7347,8173,0,404714104,154986,1986478,212.16," Time WITHOUT software prefetching: 72 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,256,6947445,4135952,6256066934,1743428465,0,1147123,8699,2688,0,846300864,342047,3915081,425.30," Time WITHOUT software prefetching: 108 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,300,8365830,4917086,7371100832,2047039679,0,1321038,1866,2349,0,985149713,417315,4681486,485.59," Time WITHOUT software prefetching: 130 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,512,13971505,8176242,12602501580,3512580976,0,2249306,11550,15400,0,1681393203,713225,7881470,835.96," Time WITHOUT software prefetching: 155 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,720,19548855,11476594,17748476401,4887310620,0,3183408,14790,3309,0,2337392979,957739,10911202,1183.49," Time WITHOUT software prefetching: 217 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,900,24622575,14394438,22272279978,6199400827,0,3944582,1889,2610,0,2932631133,1159673,13860599,1477.32," Time WITHOUT software prefetching: 252 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
0,250000,1024,28033754,16338025,25307822494,7007375869,0,4462931,24135,29589,0,3339002092,1287336,15794676,1667.25," Time WITHOUT software prefetching: 226 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx "
