LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,90,4,2894255,2372030,1753475342,590510445,22931,3262811,22131,20669,7,212033940,110512,4102880,165.13," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 22 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,8,2585230,2247077,1733724969,594476169,21013,3530519,46647,26560,4,216877610,107753,3643981,179.94," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 30 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,12,3138977,2416740,1812654582,606047549,23988,3202170,18832,18805,10,216894352,125276,4344835,186.86," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 75 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,16,2884270,2448400,1689612800,586569760,22611,3070571,28499,32522,5,226067790,137520,4266238,175.29," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 40 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,20,2840741,2280929,1766874355,590124717,22143,3013911,25785,34376,6,222689242,134585,4244649,173.48," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 46 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,24,2706490,2339609,1772156216,597477477,23593,3344996,26903,22308,5,204566074,105144,3657692,167.42," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 45 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,90,28,2881866,2403526,1775640607,596230242,24659,3269897,17745,19834,2,204971321,103423,3777413,167.14," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 49 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,180,4,2734716,2262894,1738893530,597300055,23629,3198079,36846,42831,29,225661003,131279,4091722,172.70," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 36 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,180,8,2998671,2535948,1758412196,587142844,24982,3089914,16499,12789,6,218013501,118608,4201974,166.92," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 41 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
0,125000,180,12,2924567,2343707,1795233621,595026845,21144,3050246,23607,24653,8,215803910,123821,4473770,175.03," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 47 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
