LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,125000.0,90.0,4.0,1906398.3333333333,1178768.3333333333,1380733996,413559673,11.333333333333334,282400.3333333333,2548.3333333333335,3917.0,0.0,199646072.66666666,150764.33333333334,1054729.3333333333,108.54, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 15 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,15.0
0.0,125000.0,90.0,8.0,1835652.3333333333,1175546.0,1353114435,409860104,0.0,294453.6666666667,2091.3333333333335,3921.0,0.0,200872738.0,177210.66666666666,1010665.6666666666,101.64999999999999, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 18 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,18.0
0.0,125000.0,90.0,12.0,1771320.3333333333,1149128.6666666667,1322798158,401928029,0.0,295467.6666666667,2137.3333333333335,2177.0,0.0,202597907.0,131939.33333333334,997357.0,99.99, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 15 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,15.0
0.0,125000.0,90.0,16.0,1786871.3333333333,1141360.0,1315769495,404394080,0.0,295692.3333333333,2050.3333333333335,1546.6666666666667,0.0,200315162.66666666,105868.0,997560.6666666666,100.14666666666666, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 15 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,15.0
0.0,125000.0,90.0,20.0,1799378.0,1144493.0,1318879564,405216457,0.0,292348.0,2100.6666666666665,2212.6666666666665,0.0,201846647.0,97186.66666666667,1003014.0,100.62, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 16 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,16.0
0.0,125000.0,90.0,24.0,1803864.0,1137934.0,1311638268,403106787,0.0,293082.3333333333,2119.3333333333335,1099.0,0.0,202231255.0,105200.0,1001785.6666666666,100.31666666666666, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 18 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,18.0
0.0,125000.0,90.0,28.0,1846768.0,1175070.3333333333,1347261427,413993185,0.0,294568.0,2123.6666666666665,4408.333333333333,0.0,200448567.66666666,152239.0,1030232.6666666666,102.67666666666666, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 17 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,17.0
0.0,125000.0,180.0,4.0,1846537.3333333333,1162714.0,1342069487,408398504,124.0,294956.6666666667,2154.0,3239.0,0.0,201550741.0,114030.33333333333,1023297.0,102.72000000000001, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 19 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,19.0
0.0,125000.0,180.0,8.0,1843221.3333333333,1186738.3333333333,1367761123,413777302,24.0,290883.3333333333,2251.6666666666665,4635.333333333333,0.0,199592520.33333334,113512.33333333333,1024426.6666666666,103.43666666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 18 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,18.0
0.0,125000.0,180.0,12.0,1810790.3333333333,1152521.6666666667,1326173635,404734797,0.0,295017.6666666667,2227.0,3503.6666666666665,0.0,203012774.66666666,102179.0,1005381.3333333334,101.38666666666666, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 19 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,19.0
0.0,125000.0,180.0,16.0,1814658.6666666667,1160202.0,1334920004,406741935,0.0,292998.0,2248.3333333333335,1826.0,0.0,199393890.66666666,94244.33333333333,1014463.6666666666,100.90666666666668, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 22 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,22.0
0.0,125000.0,180.0,20.0,1816214.0,1147738.0,1321351484,402411481,0.0,295750.3333333333,2260.6666666666665,458.0,0.0,199862429.0,87746.0,999036.3333333334,99.84666666666668, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 21 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,21.0
0.0,125000.0,180.0,24.0,1840739.6666666667,1154495.3333333333,1332425072,409774082,0.0,296472.6666666667,2234.3333333333335,4032.3333333333335,0.0,202206679.0,132875.33333333334,1032460.0,102.58333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 23 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,23.0
0.0,125000.0,180.0,28.0,1797547.0,1146596.0,1320320000,404352178,0.0,296987.0,2340.0,4363.0,0.0,202218747.33333334,131651.33333333334,1006627.0,100.45333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 23 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,23.0
0.0,125000.0,360.0,4.0,1809094.6666666667,1145265.0,1315677120,400047763,357.0,298671.3333333333,2340.0,2112.6666666666665,0.0,200261999.0,112190.33333333333,987552.6666666666,99.44, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 31 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,8.0,1828854.0,1186308.3333333333,1366864943,409746055,244.0,295249.6666666667,2493.3333333333335,6249.666666666667,0.0,200844239.66666666,140033.66666666666,1014603.6666666666,102.05666666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 30 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,30.0
0.0,125000.0,360.0,12.0,1836744.3333333333,1178744.6666666667,1339815020,408444973,146.33333333333334,293146.6666666667,2495.0,3765.3333333333335,0.0,201068217.66666666,146609.0,1002526.3333333334,101.62333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 31 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,16.0,1798911.3333333333,1170826.0,1346377035,410109051,48.666666666666664,299663.3333333333,2503.6666666666665,5648.333333333333,0.0,200067542.0,169870.33333333334,990916.3333333334,101.00999999999999, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 31 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,20.0,1818886.3333333333,1167396.3333333333,1345915680,413211652,0.0,298649.6666666667,2461.6666666666665,6510.666666666667,0.0,199722441.66666666,140189.66666666666,1024353.0,102.05333333333334, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 31 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,24.0,1816931.6666666667,1137603.3333333333,1306795190,406747694,0.0,297548.6666666667,2478.6666666666665,3213.3333333333335,0.0,202694794.33333334,112213.33333333333,1024536.0,101.57666666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 31 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,28.0,1797618.0,1128203.0,1296207825,404126991,0.0,299629.3333333333,2542.3333333333335,3988.3333333333335,0.0,204002282.0,124095.66666666667,1013041.3333333334,101.03000000000002, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 33 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,33.0
0.0,125000.0,720.0,4.0,1906099.6666666667,1180188.0,1343134642,419510253,842.0,296613.6666666667,2763.0,9118.0,0.0,201509581.33333334,104262.33333333333,1056743.6666666667,105.01666666666665, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 54 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx ,54.0
