LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,90,1937188,1276860,1655033960,358480587,0,279126,1700,1959,0,203826713,148992,994650,88.21," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 16 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,180,1958159,1243421,1601768630,353233092,0,284345,1731,4562,0,205461148,100706,1024201,86.93," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 26 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,360,1971173,1268488,1632650680,355581660,0,281446,1793,6496,0,204508272,136284,1018109,87.54," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 49 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,720,1999711,1243164,1596736646,354922082,0,277685,1623,8390,0,208179419,79170,1032878,88.60," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 104 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,125000,1024,1985328,1279795,1658426888,362776109,0,293888,1783,156,0,206463254,78770,1037591,92.30," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 127 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,90,3627636,2239558,3208057170,714934604,0,564354,2470,1902,0,405984688,155298,1959222,173.25," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 16 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,180,3681599,2266583,3233700908,720721975,0,556875,3083,3185,0,405288645,155840,1968185,171.37," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 27 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,360,3575488,2252818,3210311330,725716754,0,577616,3876,7000,0,398573520,201680,1963704,175.81," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 48 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,720,3611273,2258104,3223564909,712644719,0,577906,5743,11598,0,401764881,226145,1965871,170.03," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 89 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,250000,1024,3679283,2270555,3225789877,715512983,0,566526,7198,13504,0,407865509,156086,1976125,169.54," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 139 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,90,6977508,4163176,6273347792,1411205431,0,1111380,2553,4104,0,836709592,395287,3903210,342.95," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,180,6971717,4184878,6291297407,1402812480,0,1112996,2957,5103,0,837439506,347373,3897219,336.29," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 28 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,360,7013920,4189634,6290580088,1404383554,0,1117416,3984,5269,0,838425822,318264,3897522,336.01," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 50 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,720,7005495,4198194,6291878450,1399573364,0,1119742,5811,11543,0,835277533,356964,3955728,335.48," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 98 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,500000,1024,7011324,4176878,6300344701,1406446873,0,1123104,7521,15803,0,836104994,396082,3927016,337.40," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 132 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,90,13883153,8173517,12573952222,2817773910,0,2227824,2574,3851,0,1672499150,704540,7831725,675.17," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 15 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,180,13944883,8191287,12586905703,2819991349,0,2232852,2934,3109,0,1666471068,647274,7825673,678.40," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 25 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,360,13904824,8196632,12595279244,2795111582,0,2213630,3911,8324,0,1672230803,734598,7761844,666.93," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 52 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
0,1000000,720,13935593,8187432,12572925347,2820015586,0,2223117,6070,2289,0,1672873447,701905,7769086,688.07," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 94 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx "
