LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,125000.0,90.0,1948695.0,1278204.0,1662199649,361279670,0.0,284537.0,2415.3333333333335,2407.0,0.0,206801074.33333334,116938.66666666667,1014557.0,89.44, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 17 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,17.0
0.0,125000.0,180.0,1942952.3333333333,1245930.0,1607869710,351376182,0.0,281698.0,2341.6666666666665,3858.3333333333335,0.0,208188328.0,124092.66666666667,1020456.6666666666,87.07333333333334, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 31 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,125000.0,360.0,1978704.3333333333,1237705.3333333333,1595532931,350773387,0.0,282736.6666666667,2565.0,2717.3333333333335,0.0,208067589.33333334,79906.0,1033315.6666666666,87.89666666666666, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 54 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,54.0
0.0,125000.0,720.0,1987627.6666666667,1259269.3333333333,1623583214,354352764,0.0,283709.6666666667,1723.3333333333333,5648.333333333333,0.0,207448201.0,84761.0,1045537.6666666666,89.46333333333332, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 109 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,109.0
0.0,125000.0,1024.0,1979466.6666666667,1281965.6666666667,1644703068,358386731,0.0,293719.3333333333,1731.6666666666667,5464.333333333333,0.0,203354863.66666666,145581.33333333334,1021951.3333333334,88.30333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 149 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,149.0
0.0,250000.0,90.0,3649708.0,2253234.6666666665,3218230548,710108851,0.0,561019.0,2646.6666666666665,2454.6666666666665,0.0,404182470.0,167358.33333333334,1964749.0,170.07333333333335, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 17 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,17.0
0.0,250000.0,180.0,3598542.3333333335,2247504.3333333335,3214370531,711213876,0.0,570859.0,3242.3333333333335,4547.0,0.0,400604353.0,196921.0,1947598.6666666667,171.25333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 30 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,30.0
0.0,250000.0,360.0,3663549.3333333335,2256476.0,3219549553,709561834,0.0,559204.6666666666,4614.666666666667,3945.6666666666665,0.0,408202129.6666667,161797.0,1983262.3333333333,168.99666666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 59 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,59.0
0.0,250000.0,720.0,3633184.6666666665,2250503.3333333335,3216035673,712089759,0.0,576391.0,7427.0,8943.666666666666,0.0,402947761.3333333,174411.33333333334,1961573.6666666667,171.1966666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 113 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,113.0
0.0,250000.0,1024.0,3609156.6666666665,2254434.3333333335,3219066742,712888440,0.0,586140.3333333334,9356.0,13424.333333333334,0.0,401136638.3333333,221887.0,1956003.6666666667,170.61666666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 159 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,159.0
0.0,500000.0,90.0,7009574.666666667,4180893.3333333335,6287396677,1393296663,0.0,1108329.0,2642.0,3767.0,0.0,836207370.0,369621.0,3904430.6666666665,334.77666666666664, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 17 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,17.0
0.0,500000.0,180.0,7013037.666666667,4184272.0,6297470261,1393532288,0.0,1112865.3333333333,3404.3333333333335,4604.0,0.0,835648870.6666666,372386.6666666667,3937871.3333333335,335.2733333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 31 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,500000.0,360.0,6991388.333333333,4174977.3333333335,6291255658,1397457971,0.0,1113676.6666666667,4683.666666666667,5885.333333333333,0.0,840086388.0,331153.3333333333,3922239.6666666665,337.4066666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 57 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,57.0
0.0,500000.0,720.0,7009297.666666667,4191346.6666666665,6299648955,1395328835,0.0,1120952.0,7631.0,10253.0,0.0,836493878.0,372975.6666666667,3940742.6666666665,334.56333333333333, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 115 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,115.0
0.0,500000.0,1024.0,7017005.333333333,4185131.6666666665,6288038109,1392887251,0.0,1132760.0,9730.666666666666,9208.333333333334,0.0,838791394.3333334,349977.3333333333,3944409.6666666665,334.47, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 160 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,160.0
0.0,1000000.0,90.0,13952360.666666666,8194388.333333333,12583640144,2787334917,0.0,2210604.6666666665,2699.0,2060.6666666666665,0.0,1668357793.6666667,674170.3333333334,7816256.666666667,665.2233333333334, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 18 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,18.0
0.0,1000000.0,180.0,13954860.0,8191224.333333333,12586984216,2776438564,0.0,2207738.0,3363.6666666666665,1606.0,0.0,1668646721.3333333,654296.6666666666,7776966.666666667,661.32, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 31 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,31.0
0.0,1000000.0,360.0,13930037.0,8191798.0,12585219545,2797767605,0.0,2208307.3333333335,4812.666666666667,5125.0,0.0,1669067383.3333333,715823.6666666666,7763993.666666667,665.23, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 60 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,60.0
0.0,1000000.0,720.0,13938454.333333334,8211364.666666667,12596107608,2793566752,0.0,2224061.6666666665,7643.0,9827.333333333334,0.0,1666521128.0,690783.6666666666,7805996.333333333,667.4000000000001, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 119 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,119.0
0.0,1000000.0,1024.0,14008473.333333334,8206956.333333333,12590411338,2776312777,0.0,2226027.0,10010.333333333334,716.3333333333334,0.0,1669084271.6666667,652075.0,7787572.0,661.69, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 158 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,158.0
0.0,6000000.0,90.0,83436912.33333333,48308853.666666664,75541325393,16803249862,0.0,13121470.666666666,2465.6666666666665,3316.3333333333335,0.0,10017105376.0,4989727.0,46649766.333333336,4031.5833333333335, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 20 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,20.0
0.0,6000000.0,180.0,83400031.0,48305507.0,75539029089,16764276773,0.0,13163327.333333334,3377.3333333333335,3502.6666666666665,0.0,9997054700.666666,4976911.666666667,46615333.333333336,4023.5933333333337, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 34 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,34.0
0.0,6000000.0,360.0,83422401.66666667,48255145.333333336,75476654332,16800986921,0.0,13213479.666666666,3830.0,4752.333333333333,0.0,10023177777.333334,5011906.666666667,46684856.333333336,4013.15, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 64 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,64.0
0.0,6000000.0,720.0,83263947.33333333,48201633.333333336,75471145506,16714097522,0.0,13191037.666666666,5624.333333333333,7850.0,0.0,10020851017.666666,4995276.666666667,46677854.333333336,3997.6766666666667, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 124 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,124.0
0.0,6000000.0,1024.0,83312690.0,48245491.333333336,75516415790,16671899376,0.0,13182810.666666666,7129.666666666667,14524.333333333334,0.0,10017386870.0,5029577.0,46830935.666666664,3959.7400000000002, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 166 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,166.0
