Matrix Size,Algorithm Type,TimeMs,SpeedUp over Basic,Total Loss,NN Time
256,Basic (ijk),16.0,,87340.68,931.0
256,Reordered (ikj),7.0,2.29,87340.683929,334.0
256,Unrolled,13.0,1.23,87340.683929,920.0
256,Tiled/Blocked,16.0,1.0,87340.683929,818.0
256,SIMD Vectorized,5.0,3.2,87340.683929,267.0
300,Basic (ijk),25.0,,87369.43,877.0
300,Reordered (ikj),10.0,2.5,87369.43018,377.0
300,Unrolled,21.0,1.19,87369.43018,818.0
300,Tiled/Blocked,22.0,1.14,87369.43018,746.0
300,SIMD Vectorized,6.0,4.17,87369.43018,245.0
400,Basic (ijk),64.0,,87682.23,806.0
400,Reordered (ikj),22.0,2.91,87682.231843,311.0
400,Unrolled,49.0,1.31,87682.231843,759.0
400,Tiled/Blocked,53.0,1.21,87682.231843,664.0
400,SIMD Vectorized,15.0,4.27,87682.231843,221.0
512,Basic (ijk),136.0,,87310.73,819.0
512,Reordered (ikj),47.0,2.89,87310.732263,306.0
512,Unrolled,111.0,1.23,87310.732263,695.0
512,Tiled/Blocked,104.0,1.31,87310.732263,639.0
512,SIMD Vectorized,33.0,4.12,87310.732263,209.0
800,Basic (ijk),554.0,,87271.25,776.0
800,Reordered (ikj),216.0,2.56,87271.247259,314.0
800,Unrolled,564.0,0.98,87271.247259,680.0
800,Tiled/Blocked,392.0,1.41,87271.247259,648.0
800,SIMD Vectorized,138.0,4.01,87271.247259,216.0
1024,Basic (ijk),1799.0,,87447.33,786.0
1024,Reordered (ikj),472.0,3.81,87447.325619,325.0
1024,Unrolled,1269.0,1.42,87447.325619,739.0
1024,Tiled/Blocked,843.0,2.13,87447.325619,640.0
1024,SIMD Vectorized,571.0,3.15,87447.325619,213.0
1200,Basic (ijk),3000.0,,87519.82,783.0
1200,Reordered (ikj),941.0,3.19,87519.817862,296.0
1200,Unrolled,2565.0,1.17,87519.817862,711.0
1200,Tiled/Blocked,1324.0,2.27,87519.817862,654.0
1200,SIMD Vectorized,859.0,3.49,87519.817862,213.0
1500,Basic (ijk),6282.0,,87845.95,814.0
1500,Reordered (ikj),1789.0,3.51,87845.945662,291.0
1500,Unrolled,6034.0,1.04,87845.945662,679.0
1500,Tiled/Blocked,2596.0,2.42,87845.945662,652.0
1500,SIMD Vectorized,2228.0,2.82,87845.945662,212.0
1800,Basic (ijk),11627.0,,87414.58,761.0
1800,Reordered (ikj),3022.0,3.85,87414.5842,299.0
1800,Unrolled,11593.0,1.0,87414.5842,674.0
1800,Tiled/Blocked,4474.0,2.6,87414.5842,626.0
1800,SIMD Vectorized,4316.0,2.69,87414.5842,209.0
2048,Basic (ijk),18848.0,,87140.8,772.0
2048,Reordered (ikj),4515.0,4.17,87140.800527,294.0
2048,Unrolled,18171.0,1.04,87140.800527,680.0
2048,Tiled/Blocked,6513.0,2.89,87140.800527,630.0
2048,SIMD Vectorized,6577.0,2.87,87140.800527,206.0
257,Basic (ijk),16.0,,87609.63,780.0
257,Reordered (ikj),6.0,2.67,87609.632857,298.0
257,Unrolled,12.0,1.33,87609.632857,689.0
257,Tiled/Blocked,14.0,1.14,87609.632857,638.0
257,SIMD Vectorized,4.0,4.0,87609.632857,210.0
301,Basic (ijk),25.0,,87225.52,800.0
301,Reordered (ikj),9.0,2.78,87225.515615,320.0
301,Unrolled,20.0,1.25,87225.515615,685.0
301,Tiled/Blocked,21.0,1.19,87225.515615,650.0
301,SIMD Vectorized,6.0,4.17,87225.515615,221.0
401,Basic (ijk),61.0,,87072.07,799.0
401,Reordered (ikj),23.0,2.65,87072.06589,320.0
401,Unrolled,50.0,1.22,87072.06589,676.0
401,Tiled/Blocked,49.0,1.24,87072.06589,642.0
401,SIMD Vectorized,14.0,4.36,87072.06589,219.0
513,Basic (ijk),132.0,,87463.89,797.0
513,Reordered (ikj),46.0,2.87,87463.886616,292.0
513,Unrolled,111.0,1.19,87463.886616,675.0
513,Tiled/Blocked,103.0,1.28,87463.886616,632.0
513,SIMD Vectorized,31.0,4.26,87463.886616,208.0
801,Basic (ijk),561.0,,87398.23,770.0
801,Reordered (ikj),221.0,2.54,87398.232735,292.0
801,Unrolled,549.0,1.02,87398.232735,708.0
801,Tiled/Blocked,387.0,1.45,87398.232735,667.0
801,SIMD Vectorized,128.0,4.38,87398.232735,206.0
1025,Basic (ijk),1675.0,,86995.48,791.0
1025,Reordered (ikj),461.0,3.63,86995.480973,294.0
1025,Unrolled,1098.0,1.53,86995.480973,683.0
1025,Tiled/Blocked,825.0,2.03,86995.480973,630.0
1025,SIMD Vectorized,387.0,4.33,86995.480973,207.0
1201,Basic (ijk),2987.0,,87353.36,760.0
1201,Reordered (ikj),862.0,3.47,87353.357585,292.0
1201,Unrolled,2413.0,1.24,87353.357585,679.0
1201,Tiled/Blocked,1324.0,2.26,87353.357585,627.0
1201,SIMD Vectorized,708.0,4.22,87353.357585,210.0
1501,Basic (ijk),6686.0,,87351.1,773.0
1501,Reordered (ikj),1788.0,3.74,87351.097272,294.0
1501,Unrolled,6410.0,1.04,87351.097272,676.0
1501,Tiled/Blocked,2671.0,2.5,87351.097272,634.0
1501,SIMD Vectorized,1906.0,3.51,87351.097272,205.0
