Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,65892,1122230,67345086,31065565,0,15658,1882,0,6947034,84513,26824,12.32,"Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
300,98917,3292346,149099618,51680357,0,23131,2077,0,10355546,110874,37067,17.16,"Array same : 1 Loop optimized matrix multiplication took 12 ms to execute  Normalized performance: 0.000000  "
400,3879351,9329496,356626105,115946800,0,74324,3766,0,22067431,181886,3408925,30.37,"Array same : 1 Loop optimized matrix multiplication took 22 ms to execute  Normalized performance: 0.000000  "
512,17173412,17559893,713530535,244693458,0,111694,5495,0,43474921,295171,17111779,58.71,"Array same : 1 Loop optimized matrix multiplication took 48 ms to execute  Normalized performance: 0.000000  "
800,64758335,65360405,2665200551,937540880,0,1342845,41557,0,151628739,693688,63980722,221.26,"Array same : 1 Loop optimized matrix multiplication took 198 ms to execute  Normalized performance: 0.000000  "
1024,138877820,134881720,5521166062,2320636338,0,9474076,590230,0,306125924,1132391,134369991,542.61,"Array same : 1 Loop optimized matrix multiplication took 507 ms to execute  Normalized performance: 0.000000  "
1200,231904955,217774912,8848542649,4235157383,0,42209011,1228421,0,483723928,1556552,216135429,965.85,"Array same : 1 Loop optimized matrix multiplication took 920 ms to execute  Normalized performance: 0.000000  "
1500,593413837,423149261,17182325856,8111158337,0,177635526,5734890,0,923056470,2418033,410456671,1848.05,"Array same : 1 Loop optimized matrix multiplication took 1779 ms to execute  Normalized performance: 0.000000  "
1800,1084508720,732937739,29645559657,14246208217,0,470379051,14856946,0,1573122036,3471164,710383475,3237.08,"Array same : 1 Loop optimized matrix multiplication took 3138 ms to execute  Normalized performance: 0.000000  "
2000,1597925681,1003137268,40556625066,18869958708,0,694579286,23436290,0,2140012327,4280166,969762091,4265.97,"Array same : 1 Loop optimized matrix multiplication took 4143 ms to execute  Normalized performance: 0.000000  "
2048,1861231411,1079315998,43588207152,20187018480,0,748904939,29498620,0,2293433398,4487971,1036343913,4561.90,"Array same : 1 Loop optimized matrix multiplication took 4441 ms to execute  Normalized performance: 0.000000  "
2400,3010079907,1743844331,69999928923,31183866648,0,1322992520,44990322,0,3658190972,6156794,1649620860,7030.66,"Array same : 1 Loop optimized matrix multiplication took 6857 ms to execute  Normalized performance: 0.000000  "
2700,4269502609,2488066951,99494948852,44580145687,0,1942392989,65458181,0,5175635041,7783976,2360980409,10022.10,"Array same : 1 Loop optimized matrix multiplication took 9804 ms to execute  Normalized performance: 0.000000  "
3000,5910224304,3457203694,136326661511,62136311762,0,2843255903,93873376,0,7069742943,9610648,3254376622,14021.04,"Array same : 1 Loop optimized matrix multiplication took 13756 ms to execute  Normalized performance: 0.000000  "
257,62803,1494245,97084606,34329504,0,15935,1876,0,7059531,85652,25700,8.99,"Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
301,60699,2215432,139794870,52081612,0,28042,2014,0,10511969,111452,45380,13.01,"Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,2991957,8156650,341481046,117192588,0,72262,3354,0,22364892,183391,2870715,30.45,"Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
513,17165286,18412082,740851023,236367847,0,112431,4617,0,43848819,295233,16679573,56.72,"Array same : 1 Loop optimized matrix multiplication took 46 ms to execute  Normalized performance: 0.000000  "
801,64982855,65207539,2678648554,851279730,0,368468,7444,0,152203475,697323,64735771,194.95,"Array same : 1 Loop optimized matrix multiplication took 173 ms to execute  Normalized performance: 0.000000  "
1025,136105304,135247374,5551779867,2377706525,0,11822883,426805,0,306842512,1137919,135175368,538.26,"Array same : 1 Loop optimized matrix multiplication took 504 ms to execute  Normalized performance: 0.000000  "
1201,218728646,218634481,8897000277,3887229755,0,29066780,963753,0,485965175,1555479,217594204,876.30,"Array same : 1 Loop optimized matrix multiplication took 831 ms to execute  Normalized performance: 0.000000  "
1501,470422114,424920929,17274334991,8156759358,0,157962821,4655377,0,927095139,2420357,420153933,1841.23,"Array same : 1 Loop optimized matrix multiplication took 1773 ms to execute  Normalized performance: 0.000000  "
1801,1144611283,733737859,29715638498,13358964265,0,405288626,14146951,0,1576084647,3473924,705666154,3003.88,"Array same : 1 Loop optimized matrix multiplication took 2906 ms to execute  Normalized performance: 0.000000  "
2001,1711418658,1004788110,40672967500,18032938062,0,673301255,23793531,0,2149106619,4291807,971116963,4053.75,"Array same : 1 Loop optimized matrix multiplication took 3935 ms to execute  Normalized performance: 0.000000  "
2049,1868098173,1079949867,43658718416,19232059227,0,700898600,25212756,0,2300691940,4491516,1022100364,4323.86,"Array same : 1 Loop optimized matrix multiplication took 4199 ms to execute  Normalized performance: 0.000000  "
2401,3011368864,1743990296,70113597208,30972337719,0,1271660069,45301198,0,3667053728,6162022,1648554689,6953.65,"Array same : 1 Loop optimized matrix multiplication took 6784 ms to execute  Normalized performance: 0.000000  "
2701,4270382397,2501635033,99704223289,44255652202,0,1915396664,66686610,0,5187364043,7790809,2360976825,9921.73,"Array same : 1 Loop optimized matrix multiplication took 9708 ms to execute  Normalized performance: 0.000000  "
3001,5920357856,3506124618,136549345228,61543369050,0,2850273209,97300438,0,7083073997,9614447,3317869578,13831.62,"Array same : 1 Loop optimized matrix multiplication took 13570 ms to execute  Normalized performance: 0.000000  "
