Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,56067,16076302,144194141,95097726,0,17790,2768,0,19508352,84667,19589,23.97,"Normal matrix multiplication took 20 ms to execute  "
300,145980,3426353,233255335,119280979,0,24373,7107,0,30520136,112241,106889,29.96,"Normal matrix multiplication took 26 ms to execute  "
400,3820909,57804732,534123264,275036804,0,39924,5591,0,69549329,186181,3706936,66.28,"Normal matrix multiplication took 59 ms to execute  "
512,130876792,136673458,1115276612,1265318798,0,87705,50611,0,144024344,295758,130094843,291.85,"Normal matrix multiplication took 282 ms to execute  "
800,65805714,538568249,4195377718,2489298028,0,1751635,1299369,0,534940888,704546,65850596,570.26,"Normal matrix multiplication took 549 ms to execute  "
1024,975234392,1191288378,8744421375,11537404061,0,25403424,23178464,0,1110054335,1134516,974231824,2626.87,"Normal matrix multiplication took 2592 ms to execute  "
1200,217428325,1928443053,14050292040,9194681100,0,51599137,33732475,0,1776525181,1554260,216953644,2115.50,"Normal matrix multiplication took 2070 ms to execute  "
1500,425165023,3983305632,27328268439,22163889808,0,243479567,150917767,0,3452135388,2420203,423889443,5079.39,"Normal matrix multiplication took 5008 ms to execute  "
1800,735286092,6843133261,47133398349,33253194494,0,516193395,344145884,0,5941473889,3475892,734464074,7488.06,"Normal matrix multiplication took 7382 ms to execute  "
2000,1019698596,8925541415,64588629974,47831537704,0,690898613,470886109,0,8136198002,4280436,1019070344,10746.08,"Normal matrix multiplication took 10623 ms to execute  "
2048,8473901356,8978848433,69343516389,292783549605,0,6151918397,6044170788,0,8733398996,4487501,8471936653,65539.10,"Normal matrix multiplication took 65692 ms to execute  "
2400,1886393671,14918222090,111431166780,90776081541,0,1430536416,1019227578,0,14020290255,6158031,1885161428,20349.98,"Normal matrix multiplication took 20191 ms to execute  "
2700,2510518686,22951337117,158550824725,127299415303,0,2065890499,1448970130,0,19930588847,7784848,2509305067,28514.95,"Normal matrix multiplication took 28318 ms to execute  "
3000,3525156963,31579622253,217321463067,160368883225,0,3001513100,2016401407,0,27309016827,9664834,3523344555,35916.83,"Normal matrix multiplication took 35675 ms to execute  "
257,65914,2224536,144643267,83024886,0,27381,6557,0,19672378,85474,35566,22.41,"Normal matrix multiplication took 18 ms to execute  "
301,103600,3443991,234478758,117963131,0,28221,8762,0,31049536,113222,66978,28.89,"Normal matrix multiplication took 25 ms to execute  "
401,2498523,8831074,542194047,273848577,0,44564,17124,0,69959930,187271,2370578,64.51,"Normal matrix multiplication took 58 ms to execute  "
513,16471066,24982960,1135095606,582601845,0,84393,40570,0,144252427,298399,16190870,135.94,"Normal matrix multiplication took 126 ms to execute  "
801,64854025,588071318,4204439465,2294545483,0,974555,613820,0,536193056,702674,64889495,523.78,"Normal matrix multiplication took 501 ms to execute  "
1025,135481648,1141518090,8760446757,6394793321,0,16291527,10129761,0,1113883239,1138823,135143639,1464.63,"Normal matrix multiplication took 1432 ms to execute  "
1201,217810489,2086039165,14074685503,12743902299,0,56876931,28226548,0,1782634523,1556505,217056572,2884.81,"Normal matrix multiplication took 2842 ms to execute  "
1501,426911448,4034284018,27390478908,30233782728,0,183335828,106038599,0,3460095585,2429099,426309191,6802.68,"Normal matrix multiplication took 6736 ms to execute  "
1801,732866170,7033651512,47212594809,58793742060,0,468957803,241287551,0,5952994676,3476788,732218864,13186.72,"Normal matrix multiplication took 13094 ms to execute  "
2001,1013148091,9560221779,64689190340,79042388132,0,702743715,392593415,0,8148745236,4282978,1012104901,17712.16,"Normal matrix multiplication took 17602 ms to execute  "
2049,1079026798,10237735549,69444109113,86891609895,0,813386299,460355495,0,8746487011,4493500,1078010992,19463.76,"Normal matrix multiplication took 19348 ms to execute  "
2401,1744688938,16574520623,111600795817,150185385058,0,1400680139,775400024,0,14038108039,6166599,1743392165,33619.35,"Normal matrix multiplication took 33416 ms to execute  "
2701,2488337045,23434661752,158709714918,215256911388,0,2086850715,1244724413,0,19954478853,7796105,2486707295,48197.98,"Normal matrix multiplication took 47945 ms to execute  "
3001,3424205664,32010440175,217547047332,288017934315,0,2948839029,1841405496,0,27333633493,9633487,3421269967,64411.21,"Normal matrix multiplication took 64145 ms to execute  "
