Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,L1-dcache-store-misses,cache-misses,LLC-load-misses,ExecutableOutput
256,60809,2129399,96192055,33715095,0,<not,18754,2137,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
300,121064,3414268,150898929,56509372,0,<not,31258,2450,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
400,3858338,8045477,346261430,117735307,0,<not,68566,2738,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
512,16317774,16831292,712468790,249391568,0,<not,111808,5918,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 50 ms to execute  Normalized performance: 0.000000  "
800,64493587,64355040,2657297703,961245116,0,<not,1078149,28172,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 202 ms to execute  Normalized performance: 0.000000  "
1024,139572814,134801237,5526464477,2759493195,0,<not,22208504,1471855,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 607 ms to execute  Normalized performance: 0.000000  "
1200,223315181,217000180,8855672809,4172075011,0,<not,45179683,1350763,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 899 ms to execute  Normalized performance: 0.000000  "
1500,468422574,423618706,17210520262,7999675880,0,<not,150758550,4343568,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1727 ms to execute  Normalized performance: 0.000000  "
1800,1262443591,732741219,29641996868,13617470245,0,<not,485251457,16487474,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 2977 ms to execute  Normalized performance: 0.000000  "
2000,1739509274,1003975385,40594441098,18444248104,0,<not,693181576,24474669,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4034 ms to execute  Normalized performance: 0.000000  "
2048,1867011907,1078602063,43572861914,20147288981,0,<not,755608627,31097380,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4408 ms to execute  Normalized performance: 0.000000  "
2400,3007279428,1738110400,69974834895,31157489812,0,<not,1321888073,46098392,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 6829 ms to execute  Normalized performance: 0.000000  "
2700,4294929012,2485309446,99496197246,44585239471,0,<not,1993133258,68432304,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9784 ms to execute  Normalized performance: 0.000000  "
3000,5909665448,3465016094,136334187603,61585929018,0,<not,2799992045,94157684,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 13569 ms to execute  Normalized performance: 0.000000  "
257,58617,2152949,97885418,35171856,0,<not,17035,1809,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
301,103364,3441509,153247520,53380051,0,<not,27930,2035,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,3582912,8101993,350392817,119024810,0,<not,74777,3889,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 22 ms to execute  Normalized performance: 0.000000  "
513,16609564,16923881,719190490,237705946,0,<not,116853,4954,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 47 ms to execute  Normalized performance: 0.000000  "
801,64746153,64594247,2673560231,944401852,0,<not,1040805,28180,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 199 ms to execute  Normalized performance: 0.000000  "
1025,136133872,135235214,5553014800,1977137999,0,<not,3871119,142945,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 417 ms to execute  Normalized performance: 0.000000  "
1201,245680711,217650676,8892066031,4562347423,0,<not,77306338,2392923,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1001 ms to execute  Normalized performance: 0.000000  "
1501,547438131,424612215,17267262359,8655980547,0,<not,198852136,6295348,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1905 ms to execute  Normalized performance: 0.000000  "
1801,1267782832,733944689,29723587236,14338419586,0,<not,544350356,18283992,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3178 ms to execute  Normalized performance: 0.000000  "
2001,1740408583,1009556487,40695097783,20527210169,0,<not,801292935,26205536,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4576 ms to execute  Normalized performance: 0.000000  "
2049,1868989179,1081031284,43678392107,20983607747,0,<not,835734609,28193632,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4648 ms to execute  Normalized performance: 0.000000  "
2401,3009293182,1743836420,70119624224,33512774842,0,<not,1437416358,48563179,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7437 ms to execute  Normalized performance: 0.000000  "
2701,4302717193,2513806858,99679332481,48375269938,0,<not,2153353399,70920531,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10802 ms to execute  Normalized performance: 0.000000  "
3001,5923696941,3533025948,136560171909,66273088263,0,<not,3022301368,100316711,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 14792 ms to execute  Normalized performance: 0.000000  "
