LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,128.0,1205378.0,860783.0,1843685524,797606687,0.0,202620.0,3308.0,7227.0,0.0,211497982.0,3214156.0,740313.0,183.19999999999996, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 172 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,172.0
0.0,50000.0,192.0,1571974.0,1200062.0,2725073956,1180170025,0.0,262041.0,3641.0,9254.0,0.0,317566651.0,4804090.0,990730.0,270.61, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 240 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,240.0
0.0,50000.0,320.0,2758494.0,2175836.0,4516410573,1972599837,0.0,418438.0,1876.0,8260.0,0.0,537060155.0,8108474.0,1579745.0,451.62999999999994, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 300 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,300.0
0.0,50000.0,512.0,4325251.0,3270058.0,7232080422,3136525165,0.0,635127.0,2725.0,9148.0,0.0,853660920.0,12878189.0,2521079.0,713.39, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 373 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,373.0
0.0,50000.0,640.0,5314843.0,4089733.0,9020395978,3904386842,18.0,849561.0,4807.0,2575.0,0.0,1073767186.0,16228535.0,3104168.0,886.15, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 527 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,527.0
0.0,50000.0,784.0,6515855.0,4946424.0,11076083908,4789517207,0.0,1024687.0,4661.0,513.0,0.0,1311380017.0,19757281.0,3868303.0,1085.62, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 588 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,588.0
0.0,50000.0,896.0,7546141.0,5778916.0,12620181408,5468210217,0.0,1128345.0,5172.0,13895.0,0.0,1503886377.0,22678178.0,4402737.0,1239.45, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 610 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,610.0
0.0,50000.0,1024.0,8440215.0,6379719.0,14455298541,6266648484,22.0,1325558.0,3831.0,1645.0,0.0,1715397438.0,25863902.0,4977136.0,1418.7, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 673 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,673.0
0.0,150000.0,128.0,3078087.0,2317655.0,5449177791,2349163507,0.0,517762.0,3746.0,8887.0,0.0,642765823.0,9730598.0,1879695.0,533.94, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 190 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,190.0
0.0,150000.0,192.0,4830051.0,3698042.0,8115490089,3530781812,8.0,741793.0,3688.0,10032.0,0.0,966964848.0,14594233.0,2856903.0,801.31, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 241 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = 0.000x Speedup (with software prefetching and simd) = -nanx ,241.0
